source,target,tgt_lng
"""A Regular""",Une habituée,fr-FR
"""All is fair in war.""",La ruse est le nerf de la guerre.,fr-FR
"""Auspicioso 'Cabeza de León'""",Danseur de lion porte-bonheur,fr-FR
"""Brother""",« Frère »,fr-FR
"""Dogs of War""",Le vicieux,fr-FR
"""Im Krieg ist alles erlaubt.""",La ruse est le nerf de la guerre.,fr-FR
"""Irmão""",« Frère »,fr-FR
"""Perros de Guerra""",Le vicieux,fr-FR
"""Qingloong ergue-se, e os monstros se vão""... Toda criança em Jinzhou conhece essa cantiga de cor. Minha confiança repousa em Jiyan, pois com sua proteção as Dissonâncias Transgressoras nunca cruzarão as nossas fronteiras.","« Le dragon azur monte, les monstres disparaissent… »... Chaque enfant de Jinzhou connaît cette comptine par cœur. Ma foi repose en Jiyan, car avec sa protection, les Tacets Discords ne franchiront jamais nos frontières.",fr-FR
"""Qingloong rise, monsters gone""... Every child in Jinzhou knows this nursery rhyme by heart. My faith rests with Jiyan, for with his protection the Tacet Discords will never breach our borders.","« Le dragon azur monte, les monstres disparaissent… »... Chaque enfant de Jinzhou connaît cette comptine par cœur. Ma foi repose en Jiyan, car avec sa protection, les Tacets Discords ne franchiront jamais nos frontières.",fr-FR
"""Qingloong se levanta, los monstruos se van""... Todos los niños en Jinzhou conocen esta canción de cuna de memoria. Mi fe está en Jiyan, porque con su protección, las Disonancias Tácitas nunca cruzarán nuestras fronteras.","« Le dragon azur monte, les monstres disparaissent… »... Chaque enfant de Jinzhou connaît cette comptine par cœur. Ma foi repose en Jiyan, car avec sa protection, les Tacets Discords ne franchiront jamais nos frontières.",fr-FR
"""Shorekeeper ""... ชื่อนี้เหมาะกับฉันดีนะ ตรงกับจุดมุ่งหมายและแรงผลักดันของฉัน... เพราะทุกอย่างมีอยู่ได้ก็เพราะคุณ","Gardienne du littoral... Ce titre me va plutôt bien. Il reflète parfaitement mon objectif et ma motivation, qui n'existent que grâce à toi.",fr-FR
