source,target,tgt_lng
精准,精確,ja-JP
精準,精確,ja-JP
Accuracy,精確,ja-JP
정밀도,精確,ja-JP
แม่นยำ,精確,ja-JP
攻击力,攻撃力,ja-JP
攻擊力,攻撃力,ja-JP
ATK,攻撃力,ja-JP
공격력,攻撃力,ja-JP
格挡,ブロック,ja-JP
格擋,ブロック,ja-JP
Block,ブロック,ja-JP
블록,ブロック,ja-JP
บล็อก,ブロック,ja-JP
穿透率,貫通率,ja-JP
Armor PEN,貫通率,ja-JP
관통률,貫通率,ja-JP
อัตราเจาะเกราะ,貫通率,ja-JP
Endurance,忍耐率,ja-JP
인내율,忍耐率,ja-JP
อัตราอดทน,忍耐率,ja-JP
基础伤害,基本ダメージ,ja-JP
基礎傷害,基本ダメージ,ja-JP
Base DMG,基本ダメージ,ja-JP
기본 대미지,基本ダメージ,ja-JP
ดาเมจพื้นฐาน,基本ダメージ,ja-JP
基础伤害减免,基本ダメージダウン,ja-JP
基礎傷害減免,基本ダメージダウン,ja-JP
Base DMG Red.,基本ダメージダウン,ja-JP
기본 대미지 감면,基本ダメージダウン,ja-JP
ลดดาเมจพื้นฐาน,基本ダメージダウン,ja-JP
伤害,単体攻撃,ja-JP
傷害,単体攻撃,ja-JP
DMG,単体攻撃,ja-JP
대미지,単体攻撃,ja-JP
ดาเมจ,単体攻撃,ja-JP
伤害减免,ダメージダウン,ja-JP
傷害減免,ダメージダウン,ja-JP
DMG Reduction,ダメージダウン,ja-JP
대미지 감면,ダメージダウン,ja-JP
ลดดาเมจ,ダメージダウン,ja-JP
造成治疗提升,与回復効果アップ,ja-JP
造成治療提升,与回復効果アップ,ja-JP
Healing Boost,与回復効果アップ,ja-JP
부여하는 치유 증가,与回復効果アップ,ja-JP
สร้างการฟื้นฟูเพิ่มขึ้น,与回復効果アップ,ja-JP
受到治疗提升,被回復効果アップ,ja-JP
受到治療提升,被回復効果アップ,ja-JP
Received Healing UP,被回復効果アップ,ja-JP
적용되는 치유 증가,被回復効果アップ,ja-JP
ได้รับการฟื้นฟูเพิ่มขึ้น,被回復効果アップ,ja-JP
Lifesteal,吸血,ja-JP
