source,target,tgt_lng
Aeroimpulso,ウィンドバースト,ja-JP
Affilage,範囲ダメージ増加,ja-JP
Affilatezza,ダメージ増加,ja-JP
Affinità all'acqua,水中採掘,ja-JP
Affinité aquatique,水中採掘,ja-JP
Affondo,突進,ja-JP
Afiação,ダメージ増加,ja-JP
Afinidad acuática,水中採掘,ja-JP
Afinidade Aquática,水中採掘,ja-JP
Agilidad acuática,水中歩行,ja-JP
Agilité aquatique,水中歩行,ja-JP
Agilité des âmes,ソウルスピード,ja-JP
Alcance,範囲ダメージ増加,ja-JP
Alev,フレイム,ja-JP
Alevden Çehre,火属性,ja-JP
Anatema,アンデッド特効,ja-JP
Apnée,水中呼吸,ja-JP
Appât,入れ食い,ja-JP
Aqua Affinity,水中採掘,ja-JP
Aspecto Flamejante,火属性,ja-JP
Aspecto ígneo,火属性,ja-JP
Aspetto di fuoco,火属性,ja-JP
Ateş Koruması,火炎耐性,ja-JP
Atmung,水中呼吸,ja-JP
Atracción,入れ食い,ja-JP
Atterraggio morbido,落下耐性,ja-JP
Atılma,突進,ja-JP
Aura de feu,火属性,ja-JP
Ausfallschritt,突進,ja-JP
Aşma,防具貫通,ja-JP
Bane of Arthropods,虫特効,ja-JP
Bann,アンデッド特効,ja-JP
Barrido,範囲ダメージ増加,ja-JP
Bağlanma Laneti,束縛の呪い,ja-JP
Behutsamkeit,シルクタッチ,ja-JP
Blast Protection,爆発耐性,ja-JP
Botín,ドロップ増加,ja-JP
Breach,防具貫通,ja-JP
Breccia,防具貫通,ja-JP
Brèche,防具貫通,ja-JP
Butin,ドロップ増加,ja-JP
Bảo vệ,ダメージ軽減,ja-JP
Bảo vệ khỏi lửa,火炎耐性,ja-JP
Bảo vệ khỏi sát thương rơi,落下耐性,ja-JP
Bảo vệ khỏi vật bắn ra,飛び道具耐性,ja-JP
Bảo vệ khỏi vụ nổ,爆発耐性,ja-JP
Canalisation,召雷,ja-JP
Canalizzazione,召雷,ja-JP
Carga Rápida,高速装填,ja-JP
Carga rápida,高速装填,ja-JP
Carica rapida,高速装填,ja-JP
Caída de pluma,落下耐性,ja-JP
Chama,フレイム,ja-JP
Chance de la mer,宝釣り,ja-JP
Channeling,召雷,ja-JP
Charge rapide,高速装填,ja-JP
Chute amortie,落下耐性,ja-JP
Chân lạnh,氷渡り,ja-JP
Châtiment,アンデッド特効,ja-JP
Chậm hỏng,耐久力,ja-JP
Chớp điện,召雷,ja-JP
Colpo di vento,ウィンドバースト,ja-JP
Conductividad,召雷,ja-JP
Condutividade,召雷,ja-JP
Contraccolpo,ノックバック,ja-JP
Correnteza,激流,ja-JP
Curse of Binding,束縛の呪い,ja-JP
Curse of Vanishing,消滅の呪い,ja-JP
Delme,貫通,ja-JP
Deniz Şansı,宝釣り,ja-JP
Densidad,重撃,ja-JP
Densidade,重撃,ja-JP
Density,重撃,ja-JP
Densità,重撃,ja-JP
Densité,重撃,ja-JP
Depth Strider,水中歩行,ja-JP
Derin Koşucu,水中歩行,ja-JP
Dichte,重撃,ja-JP
Dikenli,棘の鎧,ja-JP
Diệt chân đốt,虫特効,ja-JP
Diệt xác sống,アンデッド特効,ja-JP
Dondurucu Yürüyüş,氷渡り,ja-JP
Dornen,棘の鎧,ja-JP
Durchbruch,防具貫通,ja-JP
Durchschuss,貫通,ja-JP
Efficacité,効率強化,ja-JP
Efficiency,効率強化,ja-JP
