source,target,tgt_lng
%s caindo,落下中の%s,ja-JP
%s en caída,落下中の%s,ja-JP
%s in caduta,落下中の%s,ja-JP
%s qui tombe,落下中の%s,ja-JP
%s türündeki canlı çağrılamıyor,%sという種類のエンティティを召喚することができません,ja-JP
%s đang rơi,落下中の%s,ja-JP
%s в падении,落下中の%s,ja-JP
%s 유형의 개체를 소환할 수 없습니다,%sという種類のエンティティを召喚することができません,ja-JP
%sกำลังตก,落下中の%s,ja-JP
Abeille,ミツバチ,ja-JP
Abeja,ミツバチ,ja-JP
Abelha,ミツバチ,ja-JP
Acacia Boat,アカシアのボート,ja-JP
Acacia Boat with Chest,チェスト付きのアカシアのボート,ja-JP
Afogado,ドラウンド,ja-JP
Agricoltore,農民,ja-JP
Agricultor,農民,ja-JP
Ahogado,ドラウンド,ja-JP
Ajolote,ウーパールーパー,ja-JP
Akasya Tekne,アカシアのボート,ja-JP
Akazienholzboot,アカシアのボート,ja-JP
Akazienholztruhenboot,チェスト付きのアカシアのボート,ja-JP
Aksolotl,ウーパールーパー,ja-JP
Albañil,石工,ja-JP
Aldeano,村人,ja-JP
Aldeano zombi,村人ゾンビ,ja-JP
Aldeão,村人,ja-JP
Aldeão Zumbi,村人ゾンビ,ja-JP
Alet Ustası,道具鍛冶,ja-JP
Allay,アレイ,ja-JP
Alleviante,アレイ,ja-JP
Almofada,クッション,ja-JP
Ampolla d'esperienza lanciata,投げられたエンチャントの瓶,ja-JP
Anemone,アネモネ,ja-JP
Anemonenfisch,アネモネ,ja-JP
Anfiprione,アネモネ,ja-JP
Annegato,ドラウンド,ja-JP
Antriebslore,かまど付きのトロッコ,ja-JP
Anzuelo,浮き,ja-JP
Anémona,アネモネ,ja-JP
Anêmona,アネモネ,ja-JP
Ape,ミツバチ,ja-JP
Araignée,クモ,ja-JP
Araignée venimeuse,洞窟グモ,ja-JP
Aranha,クモ,ja-JP
Aranha das Cavernas,洞窟グモ,ja-JP
Araña,クモ,ja-JP
Araña de cueva,洞窟グモ,ja-JP
Area Effect Cloud,エリアエフェクトクラウド,ja-JP
Argilécaille,クレイフィッシュ,ja-JP
Armadillo,アルマジロ,ja-JP
Armaiolo,武器鍛冶,ja-JP
Armeiro,武器鍛冶,ja-JP
Armeiro,防具鍛冶,ja-JP
Armor Stand,防具立て,ja-JP
Armorer,防具鍛冶,ja-JP
Armurier,防具鍛冶,ja-JP
Arpenteur,ストライダー,ja-JP
Arrow,矢,ja-JP
Arı,ミツバチ,ja-JP
Asino,ロバ,ja-JP
Assolotto,ウーパールーパー,ja-JP
At,ウマ,ja-JP
Ateş Topu,火の玉,ja-JP
Ateşlenmiş TNT,着火されたTNT,ja-JP
Austral,コーブ,ja-JP
Axolote,ウーパールーパー,ja-JP
Axolotl,ウーパールーパー,ja-JP
Azzannatore rosso,センネンダイ,ja-JP
Açougueiro,肉屋,ja-JP
Bacalao,タラ,ja-JP
Bacalhau,タラ,ja-JP
Baiacu,フグ,ja-JP
Bakır Golem,カッパーゴーレム,ja-JP
Baliste,モンガラカワハギ,ja-JP
Balsa de bambú,竹のイカダ,ja-JP
Balsa de bambú con cofre,チェスト付きの竹のイカダ,ja-JP
Balçık,スライム,ja-JP
Balıkçı,釣り人,ja-JP
Bamboo Raft,竹のイカダ,ja-JP
Bamboo Raft with Chest,チェスト付きの竹のイカダ,ja-JP
Bambu Sal,竹のイカダ,ja-JP
Bambus-Truhenfloß,チェスト付きの竹のイカダ,ja-JP
Bambusfloß,竹のイカダ,ja-JP
Barbudo,ツバメコノシロ,ja-JP
Barca,ボート,ja-JP
Barca con baule,チェスト付きのボート,ja-JP
Barca con cofre,チェスト付きのボート,ja-JP
Barca de abedul,シラカバのボート,ja-JP
Barca de abedul con cofre,チェスト付きのシラカバのボート,ja-JP
Barca de abeto,トウヒのボート,ja-JP
Barca de abeto con cofre,チェスト付きのトウヒのボート,ja-JP
Barca de acacia,アカシアのボート,ja-JP
Barca de acacia con cofre,チェスト付きのアカシアのボート,ja-JP
Barca de cerezo,サクラのボート,ja-JP
Barca de cerezo con cofre,チェスト付きのサクラのボート,ja-JP
Barca de jungla,ジャングルのボート,ja-JP
Barca de jungla con cofre,チェスト付きのジャングルのボート,ja-JP
Barca de mangle,マングローブのボート,ja-JP
Barca de mangle con cofre,チェスト付きのマングローブのボート,ja-JP
Barca de roble,オークのボート,ja-JP
Barca de roble con cofre,チェスト付きのオークのボート,ja-JP
Barca de roble oscuro,ダークオークのボート,ja-JP
Barca de roble oscuro con cofre,チェスト付きのダークオークのボート,ja-JP
Barca de roble pálido,ペールオークのボート,ja-JP
Barca de roble pálido con cofre,チェスト付きのペールオークのボート,ja-JP
Barca de álamo,ポプラのボート,ja-JP
Barca de álamo con cofre,チェスト付きのポプラのボート,ja-JP
Barca di abete,トウヒのボート,ja-JP
Barca di abete con baule,チェスト付きのトウヒのボート,ja-JP
Barca di acacia,アカシアのボート,ja-JP
Barca di acacia con baule,チェスト付きのアカシアのボート,ja-JP
Barca di betulla,シラカバのボート,ja-JP
Barca di betulla con baule,チェスト付きのシラカバのボート,ja-JP
Barca di ciliegio,サクラのボート,ja-JP
Barca di ciliegio con baule,チェスト付きのサクラのボート,ja-JP
Barca di mangrovia,マングローブのボート,ja-JP
Barca di mangrovia con baule,チェスト付きのマングローブのボート,ja-JP
Barca di mogano,ジャングルのボート,ja-JP
Barca di mogano con baule,チェスト付きのジャングルのボート,ja-JP
Barca di pioppo,ポプラのボート,ja-JP
Barca di pioppo con baule,チェスト付きのポプラのボート,ja-JP
Barca di quercia,オークのボート,ja-JP
Barca di quercia con baule,チェスト付きのオークのボート,ja-JP
Barca di quercia pallida,ペールオークのボート,ja-JP
Barca di quercia pallida con baule,チェスト付きのペールオークのボート,ja-JP
Barca di quercia scura,ダークオークのボート,ja-JP
Barca di quercia scura con baule,チェスト付きのダークオークのボート,ja-JP
Bat,コウモリ,ja-JP
Bateau,ボート,ja-JP
Bateau de stockage,チェスト付きのボート,ja-JP
Bateau de stockage en acacia,チェスト付きのアカシアのボート,ja-JP
Bateau de stockage en acajou,チェスト付きのジャングルのボート,ja-JP
Bateau de stockage en bouleau,チェスト付きのシラカバのボート,ja-JP
Bateau de stockage en cerisier,チェスト付きのサクラのボート,ja-JP
Bateau de stockage en chêne,チェスト付きのオークのボート,ja-JP
Bateau de stockage en chêne noir,チェスト付きのダークオークのボート,ja-JP
Bateau de stockage en chêne pâle,チェスト付きのペールオークのボート,ja-JP
Bateau de stockage en palétuvier,チェスト付きのマングローブのボート,ja-JP
Bateau de stockage en peuplier,チェスト付きのポプラのボート,ja-JP
Bateau de stockage en sapin,チェスト付きのトウヒのボート,ja-JP
Bateau en acacia,アカシアのボート,ja-JP
Bateau en acajou,ジャングルのボート,ja-JP
Bateau en bouleau,シラカバのボート,ja-JP
Bateau en cerisier,サクラのボート,ja-JP
Bateau en chêne,オークのボート,ja-JP
Bateau en chêne noir,ダークオークのボート,ja-JP
Bateau en chêne pâle,ペールオークのボート,ja-JP
Bateau en palétuvier,マングローブのボート,ja-JP
Bateau en peuplier,ポプラのボート,ja-JP
Bateau en sapin,トウヒのボート,ja-JP
Batık,ボグド,ja-JP
Bauer,農民,ja-JP
Bavosa rossa,イソギンポ,ja-JP
Bee,ミツバチ,ja-JP
Befehlsblocklore,コマンドブロック付きのトロッコ,ja-JP
Berger,羊飼い,ja-JP
Betta,ベティー,ja-JP
Betty,ベティー,ja-JP
Bibliotecario,司書,ja-JP
Bibliotecário,司書,ja-JP
Bibliothekar,司書,ja-JP
Bibliothécaire,司書,ja-JP
Biene,ミツバチ,ja-JP
Bigarrin,ストライピー,ja-JP
Birch Boat,シラカバのボート,ja-JP
Birch Boat with Chest,チェスト付きのシラカバのボート,ja-JP
Birkenholzboot,シラカバのボート,ja-JP
Birkenholztruhenboot,チェスト付きのシラカバのボート,ja-JP
Black Tang,ヒレナガハギ,ja-JP
Blasseichenholzboot,ペールオークのボート,ja-JP
Blasseichenholztruhenboot,チェスト付きのペールオークのボート,ja-JP
Blauer Segelflossendoktor,ナンヨウハギ,ja-JP
Blaze,ブレイズ,ja-JP
Blenio de labios rojos,イソギンポ,ja-JP
Blennie à lèvres rouges,イソギンポ,ja-JP
Blitz,雷,ja-JP
Bloc holographique,ブロック表示エンティティ,ja-JP
Bloc qui tombe,落下中のブロック,ja-JP
Blocco in caduta,落下中のブロック,ja-JP
Block Display,ブロック表示エンティティ,ja-JP
Blockdarsteller,ブロック表示エンティティ,ja-JP
Blockfisch,ブロックフィッシュ,ja-JP
Blockfish,ブロックフィッシュ,ja-JP
Bloco em Queda,落下中のブロック,ja-JP
Blok Gösterici,ブロック表示エンティティ,ja-JP
Bloque en caída,落下中のブロック,ja-JP
Bloque holográfico,ブロック表示エンティティ,ja-JP
Blue Tang,ナンヨウハギ,ja-JP
Boat,ボート,ja-JP
Boat with Chest,チェスト付きのボート,ja-JP
Bogged,ボグド,ja-JP
Boia de Pesca,浮き,ja-JP
Bola de Fogo,火の玉,ja-JP
Bola de Fogo do Dragão,ドラゴンの火の玉,ja-JP
Bola de Fogo Pequena,小さな火の玉,ja-JP
Bola de fuego,火の玉,ja-JP
Bola de fuego de dragón,ドラゴンの火の玉,ja-JP
Bola de fuego pequeña,小さな火の玉,ja-JP
Bola de Neve,雪玉,ja-JP
Bola de nieve,雪玉,ja-JP
Boot,ボート,ja-JP
Bote,ボート,ja-JP
Bote com Baú,チェスト付きのボート,ja-JP
Bote da Selva,ジャングルのボート,ja-JP
Bote da Selva com Baú,チェスト付きのジャングルのボート,ja-JP
Bote de Abeto,トウヒのボート,ja-JP
Bote de Abeto com Baú,チェスト付きのトウヒのボート,ja-JP
Bote de Acácia,アカシアのボート,ja-JP
Bote de Acácia com Baú,チェスト付きのアカシアのボート,ja-JP
Bote de Bétula,シラカバのボート,ja-JP
Bote de Bétula com Baú,チェスト付きのシラカバのボート,ja-JP
Bote de Carvalho,オークのボート,ja-JP
Bote de Carvalho com Baú,チェスト付きのオークのボート,ja-JP
Bote de Carvalho Escuro,ダークオークのボート,ja-JP
Bote de Carvalho Escuro com Baú,チェスト付きのダークオークのボート,ja-JP
Bote de Carvalho Pálido,ペールオークのボート,ja-JP
Bote de Carvalho Pálido com Baú,チェスト付きのペールオークのボート,ja-JP
Bote de Cerejeira,サクラのボート,ja-JP
Bote de Cerejeira com Baú,チェスト付きのサクラのボート,ja-JP
Bote de Mangue,マングローブのボート,ja-JP
Bote de Mangue com Baú,チェスト付きのマングローブのボート,ja-JP
Bote de Álamo,ポプラのボート,ja-JP
Bote de Álamo com Baú,チェスト付きのポプラのボート,ja-JP
Boucher,肉屋,ja-JP
Boule de feu,火の玉,ja-JP
Boule de feu de dragon,ドラゴンの火の玉,ja-JP
Boule de neige,雪玉,ja-JP
Boğuk,ドラウンド,ja-JP
Breeze,ブリーズ,ja-JP
Brezza,ブリーズ,ja-JP
Brillante,グリッター,ja-JP
Brinely,ブラインリー,ja-JP
Bruja,ウィッチ,ja-JP
Bruxa,ウィッチ,ja-JP
Buntbarsch,シクリッド,ja-JP
Burro,ロバ,ja-JP
Butcher,肉屋,ja-JP
Butterflyfish,チョウチョウウオ,ja-JP
Bè gỗ tre,竹のイカダ,ja-JP
Bè gỗ tre có rương,チェスト付きの竹のイカダ,ja-JP
Bóng tuyết,雪玉,ja-JP
Böe,ブリーズ,ja-JP
