source,target,tgt_lng
Beute wurde verbessert.,Las recompensas mejoraron,es-ES
Canavar ve Boss Düşmanların seviyesi yükseldi,Los monstruos y jefes subieron de nivel,es-ES
Canavar ve Boss Düşmanların seviyesi yükseldi. Düşen ödüller geliştirildi.,Los monstruos y jefes subieron de nivel,es-ES
Co-Op system unlocked,Modo multijugador desbloqueado,es-ES
Commission & Dispatch system unlocked,Sistema de encargos y expediciones desbloqueado,es-ES
Cấp thế giới tăng đến Cấp 1,El Mundo subió a Niv. 1,es-ES
Cấp thế giới tăng đến Cấp 3,El Mundo subió a Niv. 3,es-ES
Das Limit der Abenteuerstufe wurde auf Stufe 25 erhöht.,Rango de Aventura Máx. aumentó a Niv. 25,es-ES
Das Limit der Abenteuerstufe wurde auf Stufe 35 erhöht.,Rango de Aventura Máx. aumentó a Niv. 35,es-ES
Das Limit der Abenteuerstufe wurde auf Stufe 45 erhöht.,Rango de Aventura Máx. aumentó a Niv. 45,es-ES
Das Limit der Abenteuerstufe wurde auf Stufe 60 erhöht.,Rango de Aventura Máx. aumentó a Niv. 60,es-ES
Drops de recompensas elevadas,Las recompensas mejoraron,es-ES
Dünya Seviyesi 1'e yükseldi,El Mundo subió a Niv. 1,es-ES
Dünya Seviyesi 3'e yükseldi,El Mundo subió a Niv. 3,es-ES
Dünya Seviyesi yükseldi,El Mundo subió de nivel,es-ES
Düşen ödüller geliştirildi.,Las recompensas mejoraron,es-ES
Expedition Dispatch Limit Increased,Límite de expediciones aumentado,es-ES
Eşli sistem açıldı.,Modo multijugador desbloqueado,es-ES
Giới hạn Hạng Mạo Hiểm tăng đến cấp 45,Rango de Aventura Máx. aumentó a Niv. 45,es-ES
Giới hạn Hạng Mạo Hiểm tăng đến cấp 60,Rango de Aventura Máx. aumentó a Niv. 60,es-ES
Il grado avventura max è salito a 25,Rango de Aventura Máx. aumentó a Niv. 25,es-ES
Il grado avventura max è salito a 35,Rango de Aventura Máx. aumentó a Niv. 35,es-ES
Il grado avventura max è salito a 45,Rango de Aventura Máx. aumentó a Niv. 45,es-ES
Il grado avventura max è salito a 60,Rango de Aventura Máx. aumentó a Niv. 60,es-ES
Il livello del mondo è salito,El Mundo subió de nivel,es-ES
Il livello del mondo è salito a 1,El Mundo subió a Niv. 1,es-ES
Il livello del mondo è salito a 3,El Mundo subió a Niv. 3,es-ES
Il livello di mostri e boss è aumentato,Los monstruos y jefes subieron de nivel,es-ES
Keşif Gönderim Sınırı Yükseltildi,Límite de expediciones aumentado,es-ES
La limite de Niv. d'aventure passe au Niv.25.,Las recompensas mejoraron,es-ES
La limite de Niv. d'aventure passe au Niv.35.,Las recompensas mejoraron,es-ES
La limite de Niv. d'aventure passe au Niv.45.,Las recompensas mejoraron,es-ES
La limite de Niv. d'aventure passe au Niv.60.,Las recompensas mejoraron,es-ES
Le ricompense per la sconfitta dei mostri sono migliorate,Las recompensas mejoraron,es-ES
Limite d'expéditions augmentée,Límite de expediciones aumentado,es-ES
Limite de Expedições aumentado,Límite de expediciones aumentado,es-ES
Limite spedizioni aumentato,Límite de expediciones aumentado,es-ES
Maksimum Macera Rütbesi 25'e yükseldi.,Rango de Aventura Máx. aumentó a Niv. 25,es-ES
Maksimum Macera Rütbesi 35'e yükseldi.,Rango de Aventura Máx. aumentó a Niv. 35,es-ES
Maksimum Macera Rütbesi 45'e yükseldi.,Rango de Aventura Máx. aumentó a Niv. 45,es-ES
Maksimum Macera Rütbesi 60'a yükseldi.,Las recompensas mejoraron,es-ES
Max Adventure Rank increased to 25,Rango de Aventura Máx. aumentó a Niv. 25,es-ES
Max Adventure Rank increased to 35,Rango de Aventura Máx. aumentó a Niv. 35,es-ES
Max Adventure Rank increased to 45,Rango de Aventura Máx. aumentó a Niv. 45,es-ES
Max Adventure Rank increased to 60,Rango de Aventura Máx. aumentó a Niv. 60,es-ES
Max. Erkundungs-Entsendungen erhöht,Límite de expediciones aumentado,es-ES
Mehrspielermodus verfügbar,Modo multijugador desbloqueado,es-ES
