source,target,tgt_lng
Abbaulähmung,Fatiga minera,es-ES
Absorption,Absorción,es-ES
Absorção,Absorción,es-ES
Acele,Prisa minera,es-ES
Affaticamento,Fatiga minera,es-ES
Anında Hasar,Daño instantáneo,es-ES
Anında Sağlık,Curación instantánea,es-ES
Assorbimento,Absorción,es-ES
Atem des Nautilus,Aliento del nautilo,es-ES
Ateş Direnci,Cuerpo ignífugo,es-ES
Avvelenamento,Veneno,es-ES
Avvizzimento,Descomposición,es-ES
Açlık,Hambre,es-ES
Bad Luck,Mala suerte,es-ES
Bad Omen,Mal presagio,es-ES
Baskın Kehaneti,Presagio de invasión,es-ES
Bay lên,Levitación,es-ES
Befallen,Infestación,es-ES
Blindheit,Ceguera,es-ES
Blindness,Ceguera,es-ES
Bonus de vie,Salud mejorada,es-ES
Breath of the Nautilus,Aliento del nautilo,es-ES
Brilho,Luminiscencia,es-ES
Bulantı,Náusea,es-ES
Bóng tối,Oscuridad,es-ES
Caduta lenta,Caída lenta,es-ES
Carica ventosa,Cierzo,es-ES
Cattivo presagio,Mal presagio,es-ES
Cecità,Ceguera,es-ES
Cegueira,Ceguera,es-ES
Chance,Suerte,es-ES
Choáng,Náusea,es-ES
Chute lente,Caída lenta,es-ES
Chậm rãi,Lentitud,es-ES
Conduit Power,Canalización,es-ES
Cécité,Ceguera,es-ES
Célérité,Prisa minera,es-ES
Danno istantaneo,Daño instantáneo,es-ES
Dano Instantâneo,Daño instantáneo,es-ES
Darkness,Oscuridad,es-ES
Debolezza,Debilidad,es-ES
Decomposição,Descomposición,es-ES
Direktheilung,Curación instantánea,es-ES
Direktschaden,Daño instantáneo,es-ES
Direnç,Resistencia,es-ES
Dolphin's Grace,Gracia de delfín,es-ES
Doygunluk,Saturación,es-ES
Drohende Prüfung,Presagio de desafío,es-ES
Drohender Überfall,Presagio de invasión,es-ES
Drohendes Unheil,Mal presagio,es-ES
Dunkelheit,Oscuridad,es-ES
Dádiva Marinha,Gracia de delfín,es-ES
Décomposition,Descomposición,es-ES
Dégâts instantanés,Daño instantáneo,es-ES
Eile,Prisa minera,es-ES
Emilim,Absorción,es-ES
Energia condotta,Canalización,es-ES
Eroe del villaggio,Héroe de la aldea,es-ES
Escuridão,Oscuridad,es-ES
Etkisiz,Sin efectos,es-ES
Exaustão,Fatiga minera,es-ES
Extraenergie,Salud mejorada,es-ES
Faiblesse,Debilidad,es-ES
Faim,Hambre,es-ES
Fame,Hambre,es-ES
Fatigue de minage,Fatiga minera,es-ES
Feuerresistenz,Cuerpo ignífugo,es-ES
Fiato del nautilo,Aliento del nautilo,es-ES
Fire Resistance,Cuerpo ignífugo,es-ES
Fome,Hambre,es-ES
Force,Fuerza,es-ES
Force de conduit,Canalización,es-ES
Fortuna,Suerte,es-ES
Forza,Fuerza,es-ES
Força,Fuerza,es-ES
Fraqueza,Debilidad,es-ES
Gece Görüşü,Visión nocturna,es-ES
Glowing,Luminiscencia,es-ES
Glück,Suerte,es-ES
Grazia delfina,Gracia de delfín,es-ES
Grâce du dauphin,Gracia de delfín,es-ES
Gunst des Delfins,Gracia de delfín,es-ES
Görünmezlik,Invisibilidad,es-ES
Haste,Prisa minera,es-ES
Health Boost,Salud mejorada,es-ES
Held des Dorfes,Héroe de la aldea,es-ES
Hero of the Village,Héroe de la aldea,es-ES
Herói da Vila,Héroe de la aldea,es-ES
Hunger,Hambre,es-ES
Héros du village,Héroe de la aldea,es-ES
Hız,Velocidad,es-ES
Hơi thở của ốc anh vũ,Aliento del nautilo,es-ES
Hấp thụ,Absorción,es-ES
Hồi phục,Regeneración,es-ES
Infestation,Infestación,es-ES
Infestazione,Infestación,es-ES
Infestação,Infestación,es-ES
Infested,Infestación,es-ES
Instant Damage,Daño instantáneo,es-ES
Instant Health,Curación instantánea,es-ES
Invisibilidade,Invisibilidad,es-ES
Invisibility,Invisibilidad,es-ES
Invisibilità,Invisibilidad,es-ES
Invisibilité,Invisibilidad,es-ES
İstila Edilmiş,Infestación,es-ES
Jump Boost,Supersalto,es-ES
Karanlık,Oscuridad,es-ES
Kháng cự,Resistencia,es-ES
Kháng lửa,Cuerpo ignífugo,es-ES
Khô héo,Descomposición,es-ES
Không có hiệu ứng nào,Sin efectos,es-ES
Kuvvet,Fuerza,es-ES
Körlük,Ceguera,es-ES
Kötü Kehanet,Mal presagio,es-ES
Kötü Şans,Mala suerte,es-ES
Köyün Kahramanı,Héroe de la aldea,es-ES
Langsamkeit,Lentitud,es-ES
Lenteur,Lentitud,es-ES
Lentezza,Lentitud,es-ES
Lentidão,Lentitud,es-ES
Leuchten,Luminiscencia,es-ES
Levitation,Levitación,es-ES
Levitazione,Levitación,es-ES
Levitação,Levitación,es-ES
Luck,Suerte,es-ES
Luminescenza,Luminiscencia,es-ES
Lévitation,Levitación,es-ES
