source,target,tgt_lng,src_lng,name_code_id
Abukuma,阿武隈,zh-CN,en,47
Adalbert,阿达尔伯特,zh-CN,en,456
Admiral Graf Spee,斯佩伯爵海军上将,zh-CN,en,430
Admiral Hipper,希佩尔海军上将,zh-CN,en,425
Admiral Hipper META,希佩尔海军上将·META,zh-CN,en,543
Admiral Hipper μ,希佩尔海军上将(μ兵装),zh-CN,en,451
Admiral Hipper-class Production Model,希佩尔海军上将级量产型,zh-CN,en,502
Agano,阿贺野,zh-CN,en,49
AI-Type Fusou Production,扶桑级量产型.verAI,zh-CN,en,173
AI-Type Kagerou Production,阳炎级量产型.verAI,zh-CN,en,171
AI-Type Myoukou Production,妙高级量产型.verAI,zh-CN,en,172
Aichi E16A Zuiun,瑞云,zh-CN,en,10004
Akagi,赤城,zh-CN,en,91
Akagi μ,赤城(μ兵装),zh-CN,en,176
Akagi-chan,小赤城,zh-CN,en,170
Akashi,明石,zh-CN,en,98
Akatsuki,晓,zh-CN,en,11
Akebono,曙,zh-CN,en,8
Akizuki,秋月,zh-CN,en,26
Alvensleben,阿尔文斯莱本,zh-CN,en,512
Alvensleben,阿尔文斯,zh-CN,en,513
Amagi,天城,zh-CN,en,161
Amagi-chan,小天城,zh-CN,en,193
Amatsukaze,天津风,zh-CN,en,23
Aoba,青叶,zh-CN,en,55
Aoba Production,青叶级量产型,zh-CN,en,114
Arashi,岚,zh-CN,en,25
Arashio,荒潮,zh-CN,en,148
Archerfish,射水鱼,zh-CN,en,196
Ariake,有明,zh-CN,en,31
Asakaze,朝风,zh-CN,en,138
Asama,浅间,zh-CN,en,305
Asashio,朝潮,zh-CN,en,145
Ashigara,足柄,zh-CN,en,144
Atago,爱宕,zh-CN,en,67
August,奥古斯特,zh-CN,en,482
August von Parseval,奥古斯特·冯·帕塞瓦尔,zh-CN,en,481
Ayanami,绫波,zh-CN,en,6
Ayase,绫濑,zh-CN,en,233
Azuma,吾妻,zh-CN,en,165
Balao,巴劳鱵,zh-CN,en,202
Battleship Hiei,战舰·比叡,zh-CN,en,118
Battleship Kirishima,战舰·雾岛,zh-CN,en,119
Bismarck,俾斯麦,zh-CN,en,435
Bismarck Zwei,俾斯麦Zwei,zh-CN,en,514
Blücher,布吕歇尔,zh-CN,en,450
Boise,博伊西,zh-CN,en,197
Boise META,博伊西·META,zh-CN,en,551
Boise μ,博伊西(μ兵装),zh-CN,en,533
Brünhilde,布伦希尔德,zh-CN,en,462
Carrier Akagi,空母·赤城,zh-CN,en,120
Carrier Kaga,空母·加贺,zh-CN,en,121
Chikuma,筑摩,zh-CN,en,62
Chitose,千岁,zh-CN,en,103
Chiyoda,千代田,zh-CN,en,104
Choukai,鸟海,zh-CN,en,69
Daisen,大山,zh-CN,en,299
Deutschland,德意志,zh-CN,en,429
Deutschland-class Production Model,德意志级量产型,zh-CN,en,500
Duisburg,杜伊斯堡,zh-CN,en,541
Elbe,易北,zh-CN,en,468
Elbing,埃尔宾,zh-CN,en,449
Emden,埃姆登,zh-CN,en,448
Eugen,欧根,zh-CN,en,428
F6F Hellcat,F6F地狱猫,zh-CN,en,10002
F6F Hellcat (HVAR-Mounted),F6F地狱猫（HVAR搭载型）,zh-CN,en,10006
Felix Schultz,菲利克斯·舒尔茨,zh-CN,en,518
Felix Schultz,菲利克斯,zh-CN,en,519
Felix Schultz,舒尔茨,zh-CN,en,520
Fifth Carrier Division,五航战,zh-CN,en,102
First Carrier Division,一航战,zh-CN,en,100
Friedrich,腓特烈,zh-CN,en,441
Friedrich Carl,腓特烈·卡尔,zh-CN,en,531
Friedrich der Grosse,腓特烈大帝,zh-CN,en,440
Fritz Rumey,弗里茨·鲁梅,zh-CN,en,542
Fubuki,吹雪,zh-CN,en,2
Fubuki Production,吹雪级量产型,zh-CN,en,105
Fujinami,藤波,zh-CN,en,310
Fumizuki,文月,zh-CN,en,159
Furutaka,古鹰,zh-CN,en,53
Furutaka Production,古鹰级量产型,zh-CN,en,113
Fusou,扶桑,zh-CN,en,78
Fusou (Retrofit),扶桑改,zh-CN,en,211
Fusou (Retrofit),扶桑.改,zh-CN,en,215
Fusou META,扶桑·META,zh-CN,en,210
Fusou Production,扶桑级量产型,zh-CN,en,178
Fuyutsuki,冬月,zh-CN,en,186
Gneisenau,格奈森瑙,zh-CN,en,434
Gneisenau META,格奈森瑙·META,zh-CN,en,477
Graf Spee,斯佩伯爵,zh-CN,en,431
Graf Zeppelin,齐柏林伯爵,zh-CN,en,437
Hagikaze,萩风,zh-CN,en,131
Haguro,羽黑,zh-CN,en,65
Hakuhou,白凤,zh-CN,en,302
Hakuryuu,白龙,zh-CN,en,204
Hamakaze,滨风,zh-CN,en,128
Hanazuki,花月,zh-CN,en,29
Harbin,哈尔滨,zh-CN,en,224
Harukaze,春风,zh-CN,en,139
Haruna,榛名,zh-CN,en,72
Harutsuki,春月,zh-CN,en,157
