source,target,tgt_lng
Abedular,Huş Ormanı,tr-TR
Abedular ancestral,El Değmemiş Huş Ormanı,tr-TR
Abetal,Koru,tr-TR
Abgetragene Tafelberge,Aşınmış Kırgıbayır,tr-TR
Abisso oscuro,Karanlık Derinlikler,tr-TR
Abîmes,Karanlık Derinlikler,tr-TR
Alm,Çayır,tr-TR
Altopiano della savana,Savan Yaylası,tr-TR
Badlands,Kırgıbayır,tr-TR
Badlands boisées,Ormanlık Kırgıbayır,tr-TR
Badlands érodées,Aşınmış Kırgıbayır,tr-TR
Bamboo Jungle,Bambu Ormanı,tr-TR
Bambusdschungel,Bambu Ormanı,tr-TR
Basalt Deltas,Bazalt Deltaları,tr-TR
Basaltdeltas,Bazalt Deltaları,tr-TR
Beach,Sahil,tr-TR
Berghain,Koru,tr-TR
Bewaldete Tafelberge,Ormanlık Kırgıbayır,tr-TR
Birch Forest,Huş Ormanı,tr-TR
Birken-Urwald,El Değmemiş Huş Ormanı,tr-TR
Birkenwald,Huş Ormanı,tr-TR
Biển băng tuyết,Karlı Sahil,tr-TR
Blasser Garten,Solgun Bahçe,tr-TR
Blumenwald,Çiçek Ormanı,tr-TR
Boschetto,Koru,tr-TR
Boschetto di ciliegi,Kiraz Ağacı Korusu,tr-TR
Bosque,Koru,tr-TR
Bosque,Orman,tr-TR
Bosque carmesí,Kızıl Orman,tr-TR
Bosque distorsionado,Çarpık Orman,tr-TR
Bosque floral,Çiçek Ormanı,tr-TR
Bosque moteado,Alacalı Orman,tr-TR
Bosque oscuro,Kara Orman,tr-TR
Bosque ventiscoso,Esintili Orman,tr-TR
Bosquet,Koru,tr-TR
Bosquet de cerisiers,Kiraz Ağacı Korusu,tr-TR
Buntwald,Alacalı Orman,tr-TR
Bãi biển,Sahil,tr-TR
Bóng tối sâu thẳm,Karanlık Derinlikler,tr-TR
Bờ đá,Taşlı Kıyı,tr-TR
Calanchi,Kırgıbayır,tr-TR
Calanchi boscosi,Ormanlık Kırgıbayır,tr-TR
Calanchi erosi,Aşınmış Kırgıbayır,tr-TR
Campi fungosi,Mantar Arazileri,tr-TR
Campo de champiñones,Mantar Arazileri,tr-TR
