source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
μ兵装,μ Equipment,en-US,ja-JP,game_term,游戏术语,
アイリス,Iris Libre,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
カタパルト,catapult,en-US,ja-JP,naval_term,航海/军事术语,
サディア帝国,Sardegna Empire,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
スキル,Skill,en-US,ja-JP,game_term,游戏术语,
セイレーン,Siren,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
ソナー,sonar,en-US,ja-JP,naval_term,航海/军事术语,
ダイヤ,Diamond,en-US,ja-JP,game_term,游戏术语,
ネームシップ,lead ship,en-US,ja-JP,naval_term,航海/军事术语,
ノット,knot,en-US,ja-JP,naval_term,航海/军事术语,
マスト,mast,en-US,ja-JP,naval_term,航海/军事术语,
レーダー,radar,en-US,ja-JP,naval_term,航海/军事术语,
ロイヤル,Royal Navy,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
ヴィシア,Vichya Dominion,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
主力艦隊,main fleet,en-US,ja-JP,naval_term,航海/军事术语,
主砲,main gun,en-US,ja-JP,naval_term,航海/军事术语,
乗員,crew,en-US,ja-JP,naval_term,航海/军事术语,
乾ドック,dry dock,en-US,ja-JP,naval_term,航海/军事术语,
偵察,reconnaissance,en-US,ja-JP,naval_term,航海/军事术语,
偵察機,reconnaissance aircraft,en-US,ja-JP,naval_term,航海/军事术语,
兵装,armament,en-US,ja-JP,naval_term,航海/军事术语,
出撃,sortie,en-US,ja-JP,naval_term,航海/军事术语,
前衛,vanguard,en-US,ja-JP,naval_term,航海/军事术语,
副砲,secondary gun,en-US,ja-JP,naval_term,航海/军事术语,
北方連合,Northern Parliament,en-US,ja-JP,navy_prefix,阵营/舰名前缀,
参謀長,Chief of Staff,en-US,ja-JP,rank,军衔,
哨戒,patrol,en-US,ja-JP,naval_term,航海/军事术语,
図面,blueprint,en-US,ja-JP,naval_term,航海/军事术语,
基準排水量,standard displacement,en-US,ja-JP,naval_term,航海/军事术语,
姉妹艦,sister ship,en-US,ja-JP,naval_term,航海/军事术语,
委託,Commission,en-US,ja-JP,game_term,游戏术语,
寮,Dorm,en-US,ja-JP,game_term,游戏术语,
封鎖,blockade,en-US,ja-JP,naval_term,航海/军事术语,
就役,commissioned,en-US,ja-JP,naval_term,航海/军事术语,
巡洋戦艦,Battlecruiser,en-US,ja-JP,hull_type,舰种,
