source,target,tgt_lng
Abgrundbote – Reißender Strom,Apôtre de l'Abîme - Torrent,fr-FR
Abgrundsänger – Abgrundflammen,Chantre de l'Abîme - Flamme abyssale,fr-FR
Abgrundsänger – Lila Blitze,Chantre de l'Abîme - Foudre pourpre,fr-FR
Abyss Herald - Wicked Torrents,Apôtre de l'Abîme - Torrent,fr-FR
Abyss Herald: Wicked Torrents,Apôtre de l'Abîme - Torrent,fr-FR
Abyss Lector - Fathomless Flames,Chantre de l'Abîme - Flamme abyssale,fr-FR
Abyss Lector - Violet Lightning,Chantre de l'Abîme - Foudre pourpre,fr-FR
Abyss Lector: Fathomless Flames,Chantre de l'Abîme - Flamme abyssale,fr-FR
Abyss Lector: Violet Lightning,Chantre de l'Abîme - Foudre pourpre,fr-FR
Agente dei Fatui di Pyro,Usurier Pyro des Fatui,fr-FR
Ahşap Kalkanlı Dağ Azmanı,Brutoviandu avec bouclier de bois,fr-FR
Alev Baltalı Dağ Azmanı,Brutoviandu avec hache Pyro,fr-FR
All-Devouring Narwhal,Narval stellavore,fr-FR
Altın Alevli Gukuzor Tiran,Tyran qucusaure de flamme dorée,fr-FR
Anemo Samachurl,Brutoshaman Anémo,fr-FR
Anemo-Samachurl,Brutoshaman Anémo,fr-FR
Annihilation Specialist Mek,Mek annihilateur,fr-FR
Annihilation Specialist Mek - Ousia,Mek annihilateur - Ousia,fr-FR
Annihilation Specialist Mek - Pneuma,Mek annihilateur - Pneuma,fr-FR
Apep Vahası'nın Muhafızı,Garde de l'oasis d'Apep,fr-FR
Apostolo dell'Abisso: Torrenti maligni,Apôtre de l'Abîme - Torrent,fr-FR
Apóstolo do Abismo - Corrente Torrencial,Apôtre de l'Abîme - Torrent,fr-FR
Arithmetic Enhancer Mek,Mek amplificateur,fr-FR
Arithmetic Enhancer Mek - Ousia,Mek amplificateur - Ousia,fr-FR
Arithmetic Enhancer Mek - Pneuma,Mek amplificateur - Pneuma,fr-FR
Assault Specialist Mek,Mek offensif,fr-FR
Assault Specialist Mek - Ousia,Mek offensif - Ousia,fr-FR
Assault Specialist Mek - Pneuma,Mek offensif - Pneuma,fr-FR
Ateş ve Demir İmparatoru,Empereur du feu ferreux,fr-FR
Ayaklı Su Mantarı,Champihydro terré,fr-FR
Ayaklı Toprak Mantarı,Champigéo terré,fr-FR
Aynalı Rahibe,Suivante miroir des Fatui,fr-FR
Aşınmış Kadim Ateşin Efendisi,Érodé seigneur du feu primordial,fr-FR
Baleia Devoradora,Narval stellavore,fr-FR
Bardo del Abismo - Llamas abismales,Chantre de l'Abîme - Flamme abyssale,fr-FR
Bardo del Abismo - Trueno púrpura,Chantre de l'Abîme - Foudre pourpre,fr-FR
Bardo do Abismo - Chamas Abismais,Chantre de l'Abîme - Flamme abyssale,fr-FR
Bardo do Abismo - Trovão Violeta,Chantre de l'Abîme - Foudre pourpre,fr-FR
Baskılama Uzmanı Meka,Mek suppressif,fr-FR
Baskılama Uzmanı Meka - Ruh,Mek suppressif - Pneuma,fr-FR
Baskılama Uzmanı Meka - Öz,Mek suppressif - Ousia,fr-FR
Beschützer von Apeps Oase,Garde de l'oasis d'Apep,fr-FR
Besta de Presas da Ossada Sagrada,Caniné sacralisé,fr-FR
Bestia zannuta consacrata,Caniné sacralisé,fr-FR
Bin Yıllık İnci Denizatı,Hippocampe perlé millénaire,fr-FR
Black Serpent Knight: Rockbreaker Ax,Chevalier des Serpents noirs - Casseur de pierre,fr-FR
Blazing Axe Mitachurl,Brutoviandu avec hache Pyro,fr-FR
Bruja Carmesí de las Ascuas,Sorcière des braises écarlates,fr-FR
Bruxa das Chamas Carmesim,Sorcière des braises écarlates,fr-FR
Buz Ajanı,Opérateur Fatui du givre,fr-FR
Buz Bodurlopu,Cryoblob,fr-FR
Buz Hipostazı,Hypostase Cryo,fr-FR
Buz Kalkanlı Dağ Azmanı,Brutoviandu avec bouclier de glace,fr-FR
Büyük Buz Bodurlopu,Cryoblob géant,fr-FR
Büyük Su Bodurlopu,Hydroblob géant,fr-FR
Băng Nguyên Bản,Hypostase Cryo,fr-FR
Bạo Chúa Qucusaur Lửa Vàng,Tyran qucusaure de flamme dorée,fr-FR
Bạo Đồ Hilichurl Búa Lôi,Brutoviandu avec hache Électro,fr-FR
Bạo Đồ Hilichurl Búa Lửa,Brutoviandu avec hache Pyro,fr-FR
Bạo Đồ Hilichurl Khiên Băng,Brutoviandu avec bouclier de glace,fr-FR
Bạo Đồ Hilichurl Khiên Gỗ,Brutoviandu avec bouclier de bois,fr-FR
Bạo Đồ Hilichurl Khiên Đá,Brutoviandu avec bouclier de pierre,fr-FR
Caballero Serpiente Negra - Hachero demolerrocas,Chevalier des Serpents noirs - Casseur de pierre,fr-FR
Cantore dell'Abisso: Fiamme imperscrutabili,Chantre de l'Abîme - Flamme abyssale,fr-FR
Cantore dell'Abisso: Fulmine viola,Chantre de l'Abîme - Foudre pourpre,fr-FR
Cavaleiro da Serpente Negra - Machado Quebra-rocha,Chevalier des Serpents noirs - Casseur de pierre,fr-FR
Cavaliere del Serpente nero: Scure spaccapietra,Chevalier des Serpents noirs - Casseur de pierre,fr-FR
Cavalo-Marinho Perolado Milenar,Hippocampe perlé millénaire,fr-FR
Chúa Tể Lửa Nguồn Ăn Mòn,Érodé seigneur du feu primordial,fr-FR
Cogumelo Alado Cryo,Champicryo ailé,fr-FR
Cogumelo Alado Dendro,Champidendro ailé,fr-FR
Cogumelo Terrestre Geo,Champigéo terré,fr-FR
Cogumelo Terrestre Hydro,Champihydro terré,fr-FR
Colmibestia Sacrósea,Caniné sacralisé,fr-FR
Consecrated Fanged Beast,Caniné sacralisé,fr-FR
Consecrated Horned Crocodile,Crococornu sacralisé,fr-FR
Corcel de Mar Perlamilenario,Hippocampe perlé millénaire,fr-FR
Corniodrilo Sacróseo,Crococornu sacralisé,fr-FR
Cornodrillo consacrato,Crococornu sacralisé,fr-FR
Crackling Axe Mitachurl,Brutoviandu avec hache Électro,fr-FR
Crimson Witch of Embers,Sorcière des braises écarlates,fr-FR
Crocodilo da Ossada Sagrada,Crococornu sacralisé,fr-FR
Cryo Abyss Mage,Cryomage de l'Abîme,fr-FR
Cryo Hilichurl Shooter,Arbalétrier Brutocollinus Cryo,fr-FR
Cryo Hypostasis,Hypostase Cryo,fr-FR
Cryo Slime,Cryoblob,fr-FR
Cryofungo alato,Champicryo ailé,fr-FR
Cryohongo Alado,Champicryo ailé,fr-FR
Cá Ngựa Ngọc Trai Ngàn Năm,Hippocampe perlé millénaire,fr-FR
Cá Sấu Sừng Thánh Hóa,Crococornu sacralisé,fr-FR
Cão da Fenda - Electrofito,Limier de faille électrophile,fr-FR
