source,target,tgt_lng
"""Chamado Sagrado dos Sete""",Invocation des Sept : JCC,fr-FR
Acciones,Prise d'action,fr-FR
Altre regole,Autres règles,fr-FR
Andere Regeln,Autres règles,fr-FR
Area di gioco,Zone de jeu,fr-FR
Automatic Artistry Elemental Reactions: Effects,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Automatic Artistry Rules,Règles du jeu automatisé,fr-FR
Automatic Artistry Special Entry,Entrée spéciale de jeu automatisé,fr-FR
Azioni,Prise d'action,fr-FR
Begriffserläuterungen,Divers,fr-FR
Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Chiến Lược Tự Động: Mục Đặc Biệt,Entrée spéciale de jeu automatisé,fr-FR
Dehanın Yakarışı Kart Oyunu,Invocation des Sept : JCC,fr-FR
Diğer Kurallar,Autres règles,fr-FR
Effetti delle reazioni elementali,Réactions élémentaires : Effets,fr-FR
Effetti delle reazioni elementali di Talento automatico,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Element Tepkimeleri: Etkiler,Réactions élémentaires : Effets,fr-FR
Element Tepkimeleri: Kurallar,Réactions élémentaires : Règles,fr-FR
Elemental Reactions: Effects,Réactions élémentaires : Effets,fr-FR
Elemental Reactions: Rules,Réactions élémentaires : Règles,fr-FR
Elementarreaktionen und Effekte für Automatische Kunstfertigkeit,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Elementarreaktionen – Effekt,Réactions élémentaires : Effets,fr-FR
Elementarreaktionen – Regel,Réactions élémentaires : Règles,fr-FR
Entrada Especial,Divers,fr-FR
Entrada Especial de Arte Automática,Entrée spéciale de jeu automatisé,fr-FR
Entradas especiales,Entrée spéciale de jeu automatisé,fr-FR
Executar Ação,Prise d'action,fr-FR
Factor especial,Divers,fr-FR
Fases de la ronda,Déroulement de manche,fr-FR
GCC Invokazione del genio,Invocation des Sept : JCC,fr-FR
Game Area,Zone de jeu,fr-FR
Geniale Beschwörung,Invocation des Sept : JCC,fr-FR
Genius Invokation TCG,Invocation des Sept : JCC,fr-FR
Hamle Yap,Prise d'action,fr-FR
Hiệu Quả Phản Ứng Nguyên Tố,Réactions élémentaires : Effets,fr-FR
Hành Động,Prise d'action,fr-FR
Invocación de los Sabios,Invocation des Sept : JCC,fr-FR
Khu Vực Trò Chơi,Zone de jeu,fr-FR
Mục Đặc Biệt,Divers,fr-FR
Other Rules,Autres règles,fr-FR
Otomatik Savaş Sanatı Kuralları,Règles du jeu automatisé,fr-FR
Otomatik Savaş Sanatına Özel Mekanikler,Entrée spéciale de jeu automatisé,fr-FR
Otomatik Savaş Sanatında Element Tepkimeleri: Etkiler,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Otros,Autres règles,fr-FR
Outras Regras,Autres règles,fr-FR
Oyun Alanı,Zone de jeu,fr-FR
Progresso do Turno,Déroulement de manche,fr-FR
Quy Trình Hiệp Đấu,Déroulement de manche,fr-FR
Quy Tắc Chiến Lược Tự Động,Règles du jeu automatisé,fr-FR
Quy Tắc Khác,Autres règles,fr-FR
Quy Tắc Phản Ứng Nguyên Tố,Réactions élémentaires : Règles,fr-FR
Reacciones Elementales - Efectos,Réactions élémentaires : Effets,fr-FR
Reacciones Elementales - Efectos,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Reacciones Elementales - Reglas,Réactions élémentaires : Règles,fr-FR
Reações Elementais - Efeitos,Réactions élémentaires : Effets,fr-FR
Reações Elementais - Regras,Réactions élémentaires : Règles,fr-FR
Reações Elementais de Arte Automática: Efeitos,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Regeln für Automatische Kunstfertigkeit,Règles du jeu automatisé,fr-FR
Reglas,Règles du jeu automatisé,fr-FR
Regole Talento automatico,Règles du jeu automatisé,fr-FR
Regole delle reazioni elementali,Réactions élémentaires : Règles,fr-FR
Regras de Arte Automática,Règles du jeu automatisé,fr-FR
Round Flow,Déroulement de manche,fr-FR
Sondereinträge für Automatische Kunstfertigkeit,Entrée spéciale de jeu automatisé,fr-FR
Special Entry,Divers,fr-FR
Spielbereich,Zone de jeu,fr-FR
Svolgimento del turno,Déroulement de manche,fr-FR
Take Action,Prise d'action,fr-FR
Termini speciali,Divers,fr-FR
Termini speciali Talento automatico,Entrée spéciale de jeu automatisé,fr-FR
Thất Thánh Triệu Hồi,Invocation des Sept : JCC,fr-FR
Tur Süreci,Déroulement de manche,fr-FR
Wie eine Runde verläuft,Déroulement de manche,fr-FR
Wie man Aktionen ausführt,Prise d'action,fr-FR
Área do Jogo,Zone de jeu,fr-FR
Áreas del tablero,Zone de jeu,fr-FR
Özel Girdi,Divers,fr-FR
Автоматический артистизм: Особые положения,Entrée spéciale de jeu automatisé,fr-FR
Автоматический артистизм: Правила,Règles du jeu automatisé,fr-FR
Выполните действие,Prise d'action,fr-FR
Игровая область,Zone de jeu,fr-FR
Особое положение,Divers,fr-FR
Порядок раунда,Déroulement de manche,fr-FR
Прочие правила,Autres règles,fr-FR
Священный призыв семерых,Invocation des Sept : JCC,fr-FR
Элементальные реакции в Автоматическом артистизме: Эффекты,Réactions élémentaires de jeu automatisé : Effets,fr-FR
Элементальные реакции: Правила,Réactions élémentaires : Règles,fr-FR
Элементальные реакции: Эффекты,Réactions élémentaires : Effets,fr-FR
กฎกติกาอื่น ๆ,Autres règles,fr-FR
กติกาเกมกลอุบาย,Règles du jeu automatisé,fr-FR
ขั้นตอนของเทิร์น,Déroulement de manche,fr-FR
ดำเนินการ,Prise d'action,fr-FR
ปฏิกิริยาธาตุ: กฎกติกา,Réactions élémentaires : Règles,fr-FR
ปฏิกิริยาธาตุ: เอฟเฟกต์,Réactions élémentaires : Effets,fr-FR
ปฏิกิริยาธาตุเกมกลอุบาย: เอฟเฟกต์,Réactions élémentaires de jeu automatisé : Effets,fr-FR
พื้นที่เกม,Zone de jeu,fr-FR
รายการพิเศษ,Divers,fr-FR
รายการพิเศษของเกมกลอุบาย,Entrée spéciale de jeu automatisé,fr-FR
เกมกลเจ็ดอัจฉริยะ,Invocation des Sept : JCC,fr-FR
《七圣召唤》,Invocation des Sept : JCC,fr-FR
《七聖召喚》,Invocation des Sept : JCC,fr-FR
「일곱 성인의 소환」,Invocation des Sept : JCC,fr-FR
『七聖召喚』,Invocation des Sept : JCC,fr-FR
その他,Autres règles,fr-FR
アクションスタート,Prise d'action,fr-FR
オートメーション対局ルール,Règles du jeu automatisé,fr-FR
オートメーション対局元素反応・効果,Réactions élémentaires de jeu automatisé : Effets,fr-FR
オートメーション対局特殊ワード,Entrée spéciale de jeu automatisé,fr-FR
ゲームエリア,Zone de jeu,fr-FR
ラウンドの流れ,Déroulement de manche,fr-FR
元素反应·效果,Réactions élémentaires : Effets,fr-FR
元素反应·规则,Réactions élémentaires : Règles,fr-FR
元素反応·ルール,Réactions élémentaires : Règles,fr-FR
元素反応·効果,Réactions élémentaires : Effets,fr-FR
元素反應·效果,Réactions élémentaires : Effets,fr-FR
元素反應·規則,Réactions élémentaires : Règles,fr-FR
其他規則,Autres règles,fr-FR
其他规则,Autres règles,fr-FR
回合流程,Déroulement de manche,fr-FR
展開行動,Prise d'action,fr-FR
游戏区域,Zone de jeu,fr-FR
特殊ワード,Divers,fr-FR
特殊詞條,Divers,fr-FR
特殊词条,Divers,fr-FR
自行巧局元素反应·效果,Réactions élémentaires de jeu automatisé : Effets,fr-FR
自行巧局元素反應·效果,Réactions élémentaires de jeu automatisé : Effets,fr-FR
自行巧局特殊詞條,Entrée spéciale de jeu automatisé,fr-FR
自行巧局特殊词条,Entrée spéciale de jeu automatisé,fr-FR
自行巧局規則,Règles du jeu automatisé,fr-FR
自行巧局规则,Règles du jeu automatisé,fr-FR
进行行动,Prise d'action,fr-FR
遊戲區域,Zone de jeu,fr-FR
게임 구역,Zone de jeu,fr-FR
기타 규칙,Autres règles,fr-FR
원소 반응·규칙,Réactions élémentaires : Règles,fr-FR
원소 반응·효과,Réactions élémentaires : Effets,fr-FR
자동 대전 규칙,Règles du jeu automatisé,fr-FR
자동 대전 원소 반응·효과,Réactions élémentaires de jeu automatisé : Effets,fr-FR
자동 대전 특수 옵션,Entrée spéciale de jeu automatisé,fr-FR
턴 진행 과정,Déroulement de manche,fr-FR
특수 옵션,Divers,fr-FR
행동 시작,Prise d'action,fr-FR
