source,target,tgt_lng
"""%s"" attendu",應為 '%s',zh-TW
"""%s"" kimliğine sahip şablon yok","沒有 ID 為 ""%s"" 的模板",zh-TW
"""%s"" n'est pas un nom de pack valide",無效的新資料包名稱 '%s',zh-TW
"""%s"" türü özellik yok","沒有類型為 ""%s"" 的地物",zh-TW
"""%s"" türü şablon havuzu yok","沒有類型為 ""%s"" 的模板池",zh-TW
"""%s"" 구조물을 %s, %s, %s에 생성했습니다","已於 %2$s, %3$s, %4$s 處生成結構 ""%1$s""",zh-TW
"""%s"" 종류의 구조물이 없습니다","沒有類型為 ""%s"" 的結構",zh-TW
"""%s"" 종류의 지물이 없습니다","沒有類型為 ""%s"" 的地物",zh-TW
"""%s"" 종류의 템플릿 풀이 없습니다","沒有類型為 ""%s"" 的模板池",zh-TW
"""%s"" 템플릿을 %s, %s, %s에 불러왔습니다","已於 %2$s, %3$s, %4$s 處載入模板 ""%1$s""",zh-TW
"""%s""을(를) %s, %s, %s에 설치했습니다","已於 %2$s, %3$s, %4$s 處放置 ""%1$s""",zh-TW
"""%s” %s,%s,%s konumuna yerleştirildi","已於 %2$s, %3$s, %4$s 處放置 ""%1$s""",zh-TW
"""%s” türünde bir yapı yok","沒有類型為 ""%s"" 的結構",zh-TW
"""%s” yapısı %s, %s, %s konumunda oluşturuldu","已於 %2$s, %3$s, %4$s 處生成結構 ""%1$s""",zh-TW
"""%s” şablonu %s, %s, %s konumuna yüklendi","已於 %2$s, %3$s, %4$s 處載入模板 ""%1$s""",zh-TW
"""Enable"" fonctionne seulement sur des objectifs de type ""trigger""",啟用僅作用於觸發類型的目標,zh-TW
%1$s bloğu %3$s özelliğine '%2$s' kabul etmiyor,%s 方塊不接受以 '%s' 作為 %s 的屬性,zh-TW
"%1$s boyutunda, %2$s konumunda zorla yüklenmiş bir yığın bulundu",從 %s 中找到一個常駐區塊：%s,zh-TW
%1$s chunk da %3$s a %4$s nella dimensione %2$s non sono più segnalati per il caricamento forzato,已將 %2$s 中 %3$s 到 %4$s 之間的 %1$s 個區塊取消常駐區塊標記,zh-TW
%1$s fonksiyonunda %2$s değişkeni eksik,函數 %1$s 缺少引數 %2$s,zh-TW
%1$s gelişimi '%2$s' kriterini içermiyor,進度 %1$s 不包含 '%2$s' 標準條件,zh-TW
%1$s tarif %2$s oyuncudan alındı,已移除 %2$s 個玩家的 %1$s 條合成配方,zh-TW
%1$s tarif %2$s oyuncusundan alındı,已移除 %2$s 的 %1$s 條合成配方,zh-TW
%1$s 발전 과제에 '%2$s' 기준이 없습니다,進度 %1$s 不包含 '%2$s' 標準條件,zh-TW
%1$s 함수에 %2$s 인수가 누락되었습니다,函數 %1$s 缺少引數 %2$s,zh-TW
%1$s 함수에 인수들이 누락되었습니다,函數 %s 缺少引數,zh-TW
"%1$s, %2$s, %3$sから%4$s, %5$s, %6$sの間にバイオームを設定しました","已設定自 %s, %s, %s 至 %s, %s, %s 之間的生態域",zh-TW
%1$sの%3$sの値は%2$sです,%s 擁有 %s %s,zh-TW
%1$sを%2$sから降ろしました,%s 結束騎乘 %s,zh-TW
%1$sを%2$sに騎乗させました,%s 開始騎乘 %s,zh-TW
"%1$s个实体未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","未能將 %s 個實體分散至 (%s, %s) 周圍（空間中實體過多 – 請嘗試將分散範圍調整為至多 %s 格）",zh-TW
"%1$s体のエンティティを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対してエンティティの数が多すぎます。%4$s体以下で散開させてみてください）","未能將 %s 個實體分散至 (%s, %s) 周圍（空間中實體過多 – 請嘗試將分散範圍調整為至多 %s 格）",zh-TW
"%1$s個のチームを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対して人数が多すぎます。%4$s人以下で散開させてみてください）","未能將 %s 個隊伍分散至 (%s, %s) 周圍（空間中實體過多 – 請嘗試將分散範圍調整為至多 %s 格）",zh-TW
%1$s在%3$s记分项里拥有%2$s分,%s 擁有 %s %s,zh-TW
"%1$s支队伍未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","未能將 %s 個隊伍分散至 (%s, %s) 周圍（空間中實體過多 – 請嘗試將分散範圍調整為至多 %s 格）",zh-TW
%1$s的%3$s属性不能被设为“%2$s”,%s 方塊不接受以 '%s' 作為 %s 的屬性,zh-TW
%1$s에는 경로점 %2$s개가 있습니다: %3$s,在 %2$s 內找到 %1$s 個路徑點：%3$s,zh-TW
%1$s은(는) %3$s이(가) %2$s입니다,%s 擁有 %s %s,zh-TW
%2$s %1$s개를 떨어뜨렸습니다 ,掉落了 %s 個 %s,zh-TW
%2$s a subi %1$s point(s) de dégâts,已將 %s 傷害套用至 %s,zh-TW
%2$s baniu %1$s: %3$s,%s 被 %s 封鎖：%s,zh-TW
%2$s bloğu üzerinde '%1$s' özelliği için değer bekleniyor,%2$s 方塊的屬性 '%1$s' 應為值,zh-TW
"%2$s boyutunda, %1$s konumundaki yığın yüklenmeye zorlanacak şekilde işaretlendi",%2$s 中的區塊 %1$s 已標記為常駐區塊,zh-TW
"%2$s boyutunda, %1$s konumundaki yığın yüklenmeye zorlanacak şekilde işaretlenemedi",%2$s 中的區塊 %1$s 未標記為常駐區塊,zh-TW
"%2$s boyutunda, %3$s ile %4$s arasındaki %1$s yığın yüklenmeye zorlanmayacak",已將 %2$s 中 %3$s 到 %4$s 之間的 %1$s 個區塊取消常駐區塊標記,zh-TW
"%2$s boyutunda, %3$s ile %4$s arasındaki %1$s yığın zorla yüklenecek şekilde işaretlendi",已將 %2$s 中 %3$s 到 %4$s 之間的 %1$s 個區塊標記為常駐區塊,zh-TW
"%2$s boyutunda, %3$s konumlarında %1$s adet zorla yüklenmiş yığın bulundu",從 %2$s 中找到 %1$s 個常駐區塊：%3$s,zh-TW
"%2$s boyutundaki, %1$s yığını yüklenmeye zorlanmayacak",已將 %2$s 中的區塊 %1$s 取消常駐區塊標記,zh-TW
"%2$s boyutundaki, %1$s yığını zorla yüklenecek şekilde işaretlendi",已將 %2$s 中的區塊 %1$s 標記為常駐區塊,zh-TW
%2$s eşyasına %1$s büyüsü uygulandı,已將附魔 %s 套用於 %s 的物品,zh-TW
%2$s fonksiyondan %1$s komut %3$s çıktı dosyasına kaydedildi,從 %2$s 個函數追蹤到的 %1$s 個指令輸出至檔案 %3$s,zh-TW
%2$s fonksiyondan %1$s komut çalıştırıldı,已從 %2$s 個函數執行 %1$s 個指令,zh-TW
%2$s ganimet tablosundan %1$s adet eşya düşürüldü,從戰利品表 %2$s 中掉落 %1$s 個物品,zh-TW
"%2$s görevi, %1$s üzerinde gösterilecek şekilde ayarlandı",已將目標 %2$s 顯示於 %1$s 的顯示區,zh-TW
%2$s görevinde %1$s için sayı biçimi değiştirildi,已變更 %s 在 %s 中的數字格式,zh-TW
%2$s görevinde %1$s için sayı biçimi temizlendi,已清除 %s 在 %s 中的數字格式,zh-TW
%2$s görevinde %1$s varlık için sayı biçimi değiştirildi,已變更 %s 個實體在 %s 中的數字格式,zh-TW
%2$s görevinde %1$s varlık için sayı biçimi temizlendi,已清除 %s 個實體在 %s 中的數字格式,zh-TW
%2$s ha bannato %1$s: %3$s,%s 被 %s 封鎖：%s,zh-TW
%2$s ha bloqueado a %1$s: %3$s,%s 被 %s 封鎖：%s,zh-TW
%2$s içerisinde %1$s barındıramaz,無法將 %s 插入至 %s,zh-TW
"%2$s için %1$s değeri alınamıyor, değer atanmamış",無法取得 %2$s 的 %1$s 數值，數值未設定,zh-TW
%2$s için %1$s post-efekti kaldırıldı,已移除 %2$s 的後製效果 %1$s,zh-TW
%2$s için %1$s sıfırlandı,已重設 %2$s 的 %1$s,zh-TW
%2$s için %1$s tarif açıldı,已為 %2$s 解鎖了 %1$s 條合成配方,zh-TW
%2$s için %1$s tetikleyicisi açıldı,已在 %2$s 上啟用觸發項目 %1$s,zh-TW
"%2$s içindeki %1$s değeri, %3$s ölçeği uygulandıktan sonra %4$s olur",儲存於 %2$s 中的 %1$s 乘上 %3$s 的倍率後為 %4$s,zh-TW
%2$s kimlikli %1$s zamanlı fonksiyon kaldırıldı,已移除 ID 為 %2$s 的 %1$s 個排程,zh-TW
%2$s konumunda %1$s: %3$s,第 %2$s 個字元 %1$s：%3$s,zh-TW
%2$s listesine %1$s eklenemez,無法將 %s 插入至清單 %s,zh-TW
%2$s oyuncu için %1$s tarif açıldı,已為 %2$s 個玩家解鎖了 %1$s 條合成配方,zh-TW
%2$s oyuncuda %1$s eşleşen eşya bulundu,在 %2$s 個玩家身上找到 %1$s 個相符的物品,zh-TW
%2$s oyuncudan %1$s adet eşya silindi,已移除 %2$s 個玩家的 %1$s 個物品,zh-TW
%2$s oyuncudan %1$s gelişim geri alındı,已從 %2$s 個玩家身上撤銷 %1$s 個進度,zh-TW
%2$s oyuncudan %1$s post-efekti kaldırıldı,已移除 %2$s 個玩家的後製效果 %1$s,zh-TW
%2$s oyuncudan '%1$s' gelişimi geri alındı,已從 %2$s 個玩家身上撤銷進度 %1$s,zh-TW
%2$s oyuncunun tecrübe puanı %1$s olarak ayarlandı,已將 %2$s 個玩家的經驗值設定為 %1$s,zh-TW
%2$s oyuncunun tecrübe seviyesi %1$s olarak ayarlandı,已將 %2$s 個玩家的經驗等級設定為 %1$s 等,zh-TW
%2$s oyuncusuna %1$s gelişimi verildi,已將 %s 個進度給予 %s,zh-TW
%2$s oyuncusuna %1$s gelişimi verildi,已將進度 %s 給予 %s,zh-TW
%2$s oyuncusuna %1$s tecrübe puanı verildi,已給予 %2$s %1$s 點經驗值,zh-TW
%2$s oyuncusuna %1$s tecrübe seviyesi verildi,已給予 %2$s %1$s 等經驗等級,zh-TW
%2$s oyuncusunda %1$s adet eşleşen eşya bulundu,在玩家 %2$s 身上找到 %1$s 個相符的物品,zh-TW
