source,target,tgt_lng
'execute as' 등의 명령어에서 쓰일 수 있는 맥락의 최대 개수.,「execute as」等指令使用的上下文最大數量。,zh-TW
A porcentagem de jogadores que devem dormir para passar a noite.,跳過夜晚所需的入睡玩家比例。,zh-TW
A quantidade de chunks que permanecem carregados ao redor do ponto de nascimento na Superfície.,主世界重生點周圍維持載入的區塊數量。,zh-TW
Accesso al Nether,允許進入地獄,zh-TW
Accès au Nether,允許進入地獄,zh-TW
Actions destructives des créatures,允許生物的破壞行為,zh-TW
Activar la barra localizadora de jugadores,啟用玩家定位條,zh-TW
Actualisation du feu loin des joueurs,允許火在遠離玩家處蔓延,zh-TW
Actualisations du monde,世界更新,zh-TW
Actualizaciones del mundo,世界更新,zh-TW
Administratorbefehle protokollieren,記錄管理員指令,zh-TW
Advance time of day,日夜交替,zh-TW
"Akan lav, iki tarafı lav kaynaklarıyla çevrildiğinde kaynağa dönüşür.",流動熔岩在被兩個熔岩源包圍時，會轉化成熔岩源。,zh-TW
"Akan su, iki tarafı su kaynaklarıyla çevrildiğinde kaynağa dönüşür.",流動水在被兩個水源包圍時，會轉化成水源。,zh-TW
"Al explotar (criaturas), algunos bloques no soltarán objetos",在生物的爆炸中，部分方塊不會掉落成戰利品,zh-TW
"Al explotar (por bloques), algunos bloques no soltarán objetos",在與方塊互動的爆炸中，部分方塊不會掉落成戰利品,zh-TW
"Al verificarsi di determinati eventi, come la generazione di un boss, il suono verrà udito globalmente.",當特定遊戲事件發生時，例如生成 Boss，聲音可以在任何地方被聽見。,zh-TW
Alcune entità potrebbero avere regole separate.,部分實體可能採用不同的規則。,zh-TW
Algumas entidades podem ter regras separadas.,部分實體可能採用不同的規則。,zh-TW
Algunas entidades pueden tener sus propias reglas.,部分實體可能採用不同的規則。,zh-TW
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de criaturas desaparecen con la explosión.,在生物引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de interacciones con bloques desaparecen con la explosión.,在與方塊相互作用引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de la dinamita desaparecen con la explosión.,在 TNT 引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Alguns itens largados por blocos destruídos em explosões de criaturas são perdidos na detonação.,在生物引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Alguns itens largados por blocos destruídos em explosões de TNT são perdidos na detonação.,在 TNT 引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Alguns itens largados por blocos destruídos na explosão de outros blocos são perdidos na detonação.,在與方塊相互作用引發的爆炸中，會遺失部分被摧毀方塊的掉落物。,zh-TW
Allgemeine Verärgerung,無差別憤怒,zh-TW
Allow destructive mob actions,允許生物的破壞行為,zh-TW
"Allow entities with passengers to teleport through Nether Portals, End Portals, and End Gateways.",允許被騎乘的實體透過地獄傳送門、終界傳送門和終界折躍門傳送。,zh-TW
Allow Nether,允許進入地獄,zh-TW
Allow spectators to generate terrain,允許旁觀者生成地形,zh-TW
Allow TNT to be activated and to explode,允許 TNT 被點燃並爆炸,zh-TW
Altezza di accumulo della neve,積雪厚度,zh-TW
Altura de acumulación de nieve,積雪厚度,zh-TW
Altura de acumulação de neve,積雪厚度,zh-TW
"Angered neutral mobs attack any nearby player, not just the player that angered them. Works best if forgive_dead_players is disabled.",被激怒的中立生物將攻擊附近的所有玩家，而不限於激怒它們的那位玩家。停用 forgive_dead_players 以達到最佳效果。,zh-TW
"Angered neutral mobs attack any nearby player, not just the player that angered them. Works best if forgiveDeadPlayers is disabled.",被激怒的中立生物將攻擊任何附近的玩家，而不限於激怒他們的那位。停用「forgiveDeadPlayers」可以有更好的效果。,zh-TW
Angered neutral mobs stop being angry when the targeted player dies nearby.,當目標玩家在附近死亡後，被其激怒的中立生物將息怒。,zh-TW
Announce advancements,進度通知,zh-TW
Anunciar comandos de administrador,記錄管理員指令,zh-TW
Anunciar progresos,進度通知,zh-TW
Anunciar progressos,進度通知,zh-TW
Anunciar saída dos Blocos de Comando,記錄指令方塊輸出,zh-TW
Anında yeniden canlanma,立即重生,zh-TW
"Ao ativar, os jogadores só poderão fabricar receitas desbloqueadas.",若啟用，玩家將只能合成已解鎖的配方。,zh-TW
"Ao ativar, uma barra na tela indica a direção dos jogadores.",啟用後，畫面上會顯示指示玩家方位的定位條。,zh-TW
"Ao nevar, as camadas de neve formadas no solo podem atingir até essa altura.",降雪時，地面上的積雪最多累積至此處指定的層數。,zh-TW
Aplicável às cadeias de blocos de comando e funções.,套用於連鎖型指令方塊及函數。,zh-TW
Apparition,生成,zh-TW
Apparition des créatures,生成生物,zh-TW
Apparition des marchands ambulants,生成流浪商人,zh-TW
Apparition des monstres,生成怪物,zh-TW
Apparition des patrouilles de pillards,生成掠奪者巡邏隊,zh-TW
Apparition des Phantoms,生成夜魅,zh-TW
Apparition des Wardens,生成伏守者,zh-TW
Applies to command block chains and functions.,套用於連鎖型指令方塊及函數。,zh-TW
Are you sure you want to discard your pending game rule changes?,你確定要捨棄尚未儲存的遊戲規則變更嗎？,zh-TW
As entidades com passageiros podem atravessar portais,被騎乘的實體是否能使用傳送門,zh-TW
Ateş hasarı alma,造成火焰傷害,zh-TW
Ateş ve lavın herhangi oyuncudan 8 yığın uzakta yayılabilmesini kontrol eder.,控制火和熔岩是否能在距離任何玩家 8 個區塊之外繼續蔓延。,zh-TW
Ateş yayılabilsin,更新火焰,zh-TW
