source,target,tgt_lng
 Sol Command,Cmd слева,ru-RU
! (TN),! (цифр. кл.),ru-RU
! pavé num.,! (цифр. кл.),ru-RU
! Tn,! (цифр. кл.),ru-RU
"""%s"" chỉ bao gồm dữ liệu bắt buộc.
""%s"" bao gồm cả dữ liệu bắt buộc và dữ liệu không bắt buộc.","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data.","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""%s"" inclui apenas os dados necessários.
""%s"" inclui os dados necessários e opcionais.","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""%s"" n'inclut que les données requises.
""%s"" inclut les données facultatives et requises.","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""%s""은(는) 필수 데이터만 포함합니다.
""%s""은(는) 필수 데이터뿐만 아니라 선택적 데이터도 포함합니다.","«%s» — только обязательные данные.
«%s» — дополнительные необязательные данные.",ru-RU
"""Kalite & Performans"" ayarlarını istenilen kaliteye göre makul varsayılanlara ayarlar.",Устанавливает настройки графики к оптимальным значениям в соответствии с желаемым качеством.,ru-RU
"""품질 및 성능"" 설정이 원하는 품질에 알맞는 기본 설정값들로 설정됩니다.",Устанавливает настройки графики к оптимальным значениям в соответствии с желаемым качеством.,ru-RU
# (TN),# (цифр. кл.),ru-RU
# pavé num.,# (цифр. кл.),ru-RU
# Tn,# (цифр. кл.),ru-RU
%% (TN),% (цифр. кл.),ru-RU
%% pavé num.,% (цифр. кл.),ru-RU
%% Tn,% (цифр. кл.),ru-RU
%1$s번 버튼,Кнопка %1$s,ru-RU
%2$s öneriden %1$s. seçildi: %3$s,Выбрано предложение %s из %s: %s,ru-RU
%2$s öneriden %1$s. seçildi: %3$s (%4$s),Выбрано предложение %s из %s: %s (%s),ru-RU
%2$s 個畫面元素中的第 %1$s 個,Элемент экрана %s из %s,ru-RU
%2$s個のうち%1$s番目のスクリーン要素,Элемент экрана %s из %s,ru-RU
%2$s個のうち%1$s番目の候補%3$s、%4$sが選択されました,Выбрано предложение %s из %s: %s (%s),ru-RU
%2$s個のうち%1$s番目の候補%3$sが選択されました,Выбрано предложение %s из %s: %s,ru-RU
%2$s個のうち%1$s番目の行の要素が選択されました,Выбран элемент списка %s из %s,ru-RU
%2$s個のタブのうち%1$s番目を選択しました,Выбрана вкладка %s из %s,ru-RU
%2$s行のリストのうち%1$s行目が選択されました,Выбрана строка списка %s из %s,ru-RU
%s,%s FPS,ru-RU
%s : %s,%s: %s,ru-RU
%s : %s %%,%s: %s%%,ru-RU
%s : %s px,%s: %spx,ru-RU
%s : +%s %%,%s: +%s%%,ru-RU
%s : Non,%s: Выкл,ru-RU
%s : Oui,%s: Вкл,ru-RU
%s auf Standard zurücksetzen,Удалить привязку для %s,ru-RU
