category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
08_event,活动,EventName.701,特殊作战・神名十文字篇,特殊作戦・デカグラマトン編,特殊作戰十字神名篇,Special Mission Decagrammaton,특수 작전 데카그라마톤 편,ปฏิบัติการพิเศษ ภาคเดคาแกรมมาทอน,localization.json:EventName
08_event,活动,EventName.801,樱花烂漫庆典大骚动！,桜花爛漫お祭り騒ぎ！,櫻花盛開慶典大騷動！,Cherry Blossom Festival Commotion!,벚꽃만발 축제대소동!,เทศกาลดอกซากุระบานสะพรั่ง!,localization.json:EventName
08_event,活动,EventName.802,革命之伊万库帕拉,革命のイワン・クパーラ,革命的伊凡．庫帕拉,A Revolutionary Ivan Kupala,혁명의 이반 쿠팔라,ปฏิวัติป่วน อีวาน คูปาลา,localization.json:EventName
08_event,活动,EventName.803,夏日天空的愿望清单,夏空のウィッシュリスト,夏日天空的願望清單,Summer Sky's Wishlist,여름 하늘의 위시리스트,ความปรารถนาในฤดูร้อน,localization.json:EventName
08_event,活动,EventName.804,日奈会长的夏日休假！,ヒナ委員長のなつやすみっ！,陽奈委員長的暑假！,Head Prefect Hina's Summer Break!,히나 선도부장님의 여름방학!,ปิดเทอมหน้าร้อน ของประธานกรรมการวินัยฮินะ!,localization.json:EventName
08_event,活动,EventName.805,在梦幻岛玩捉迷藏,ネバーランドでつかまえて,夢幻島的捉迷藏,Playing Tag at Neverland,네버랜드에서의 술래잡기,เล่นซ่อนแอบในดินแดนในฝัน,localization.json:EventName
08_event,活动,EventName.806,船上的兔子追击者,船上のバニーチェイサー,船上的兔子追逐者,Bunny Chasers on Board,선상의 바니 체이서,ตามล่าบันนี่ ภารกิจลับบนเรือยอร์ช,localization.json:EventName
08_event,活动,EventName.807,初音未来的特别演出,初音ミクのスペシャルライブ,初音未來的特別現場會,Hatsune Miku Live,하츠네 미쿠의 스페셜 라이브,ฮัตสึเนะ มิกุ สเปเชียล ไลฟ์,localization.json:EventName
08_event,活动,EventName.808,227号温泉乡运营记录！,227号温泉郷の運営記録！,227號溫泉浴場營運日誌！,Hot Springs Resort No. 227 Daily Logs!,227호 온천장 운영일지!,บันทึกละมุน ออนเซ็น No.227!,localization.json:EventName
08_event,活动,EventName.809,新春狂想曲第68号,新春狂想曲第68番,新春狂想曲第68號,New Year's Rhapsody No. 68,신춘광상곡 제68번,บทบรรเลงแห่งปีใหม่ No.68,localization.json:EventName
