source,target,tgt_lng
Ambient/Environment,Окружение,ru-RU
Ambiente,Окружение,ru-RU
Ambiente/Entorno,Окружение,ru-RU
Ana Ses,Общая громкость,ru-RU
Arayüz,Интерфейс,ru-RU
Assistente vocale,Диктор/Голос,ru-RU
Atmosphäre/Umgebung,Окружение,ru-RU
Benutzeroberfläche,Интерфейс,ru-RU
BGM,Музыка,ru-RU
Blocchi,Блоки,ru-RU
Blocchi musicali,Музыкальные блоки,ru-RU
Blocks,Блоки,ru-RU
Blocos,Блоки,ru-RU
Blocs,Блоки,ru-RU
Blocs musicaux,Музыкальные блоки,ru-RU
Bloklar,Блоки,ru-RU
Bloques,Блоки,ru-RU
Bloques musicales,Музыкальные блоки,ru-RU
Blöcke,Блоки,ru-RU
Clima,Погода,ru-RU
Creature ostili,Враждебные мобы,ru-RU
Creature pacifiche,Мирные мобы,ru-RU
Criaturas hostiles,Враждебные мобы,ru-RU
Criaturas hostis,Враждебные мобы,ru-RU
Criaturas inofensivas,Мирные мобы,ru-RU
Criaturas pacíficas,Мирные мобы,ru-RU
Créatures hostiles,Враждебные мобы,ru-RU
Créatures passives,Мирные мобы,ru-RU
Dost Canlılar,Мирные мобы,ru-RU
Environnement,Окружение,ru-RU
Feindliche Kreaturen,Враждебные мобы,ru-RU
Freundliche Kreaturen,Мирные мобы,ru-RU
Friendly Mobs,Мирные мобы,ru-RU
Gesamtlautstärke,Общая громкость,ru-RU
Giao diện người dùng,Интерфейс,ru-RU
Giocatori,Игроки,ru-RU
Giọng nói,Диктор/Голос,ru-RU
Hava Durumu,Погода,ru-RU
Hostile Mobs,Враждебные мобы,ru-RU
Interfaccia,Интерфейс,ru-RU
Interface,Интерфейс,ru-RU
Interfaz,Интерфейс,ru-RU
Jogadores,Игроки,ru-RU
Joueurs,Игроки,ru-RU
Jugadores,Игроки,ru-RU
Jukebox/Note Blocks,Музыкальные блоки,ru-RU
Khối,Блоки,ru-RU
Khối phát nhạc,Музыкальные блоки,ru-RU
Master Volume,Общая громкость,ru-RU
Metin Okuyucu/Konuşma,Диктор/Голос,ru-RU
Music,Музыка,ru-RU
Musica,Музыка,ru-RU
Musik,Музыка,ru-RU
Musikblöcke,Музыкальные блоки,ru-RU
Musique,Музыка,ru-RU
Météo,Погода,ru-RU
Môi trường,Окружение,ru-RU
Música,Музыка,ru-RU
Müzik,Музыка,ru-RU
Müzik/Nota Bloğu,Музыкальные блоки,ru-RU
Narrador/Voz,Диктор/Голос,ru-RU
Narrateur,Диктор/Голос,ru-RU
Narrator/Voice,Диктор/Голос,ru-RU
Người chơi,Игроки,ru-RU
Oyuncular,Игроки,ru-RU
Players,Игроки,ru-RU
Saldırgan Canlılar,Враждебные мобы,ru-RU
Sinh vật lành,Мирные мобы,ru-RU
Sinh vật ác,Враждебные мобы,ru-RU
Spieler,Игроки,ru-RU
Sprachausgabe/Stimme,Диктор/Голос,ru-RU
Tempo,Погода,ru-RU
Tempo atmosferico,Погода,ru-RU
Thời tiết,Погода,ru-RU
Toca-Discos/Blocos Musicais,Музыкальные блоки,ru-RU
UI,Интерфейс,ru-RU
Volume generale,Общая громкость,ru-RU
Volume principal,Общая громкость,ru-RU
Volume-mestre,Общая громкость,ru-RU
Volumen general,Общая громкость,ru-RU
Voz/Diálogos,Диктор/Голос,ru-RU
Weather,Погода,ru-RU
Wetter,Погода,ru-RU
Âm lượng tổng,Общая громкость,ru-RU
Âm nhạc,Музыка,ru-RU
Çevresel,Окружение,ru-RU
ตู้เพลง/กล่องตัวโน้ต,Музыкальные блоки,ru-RU
บล็อก,Блоки,ru-RU
ผู้บรรยาย/เสียงพูด,Диктор/Голос,ru-RU
ผู้เล่น,Игроки,ru-RU
ม็อบเป็นมิตร,Мирные мобы,ru-RU
ม็อบไม่เป็นมิตร,Враждебные мобы,ru-RU
สภาพอากาศ,Погода,ru-RU
อินเทอร์เฟซผู้ใช้,Интерфейс,ru-RU
เพลง,Музыка,ru-RU
เสียงหลัก,Общая громкость,ru-RU
แอมเบียนต์/สิ่งแวดล้อม,Окружение,ru-RU
ジュークボックス／音符ブロック,Музыкальные блоки,ru-RU
ブロック,Блоки,ru-RU
プレイヤー,Игроки,ru-RU
主音量,Общая громкость,ru-RU
友好生物,Мирные мобы,ru-RU
友好的Mob,Мирные мобы,ru-RU
唱片机/音符盒,Музыкальные блоки,ru-RU
唱片機／音階盒,Музыкальные блоки,ru-RU
复述功能/语音,Диктор/Голос,ru-RU
天候,Погода,ru-RU
天气,Погода,ru-RU
天氣,Погода,ru-RU
敌对生物,Враждебные мобы,ru-RU
敵対的Mob,Враждебные мобы,ru-RU
敵對生物,Враждебные мобы,ru-RU
方块,Блоки,ru-RU
方塊,Блоки,ru-RU
朗讀功能／語音,Диктор/Голос,ru-RU
玩家,Игроки,ru-RU
环境,Окружение,ru-RU
環境音,Окружение,ru-RU
環境音效／環境,Окружение,ru-RU
用户界面,Интерфейс,ru-RU
音乐,Музыка,ru-RU
音声読み上げ／声,Диктор/Голос,ru-RU
音樂,Музыка,ru-RU
날씨,Погода,ru-RU
내레이터/음성,Диктор/Голос,ru-RU
분위기/환경,Окружение,ru-RU
블록,Блоки,ru-RU
음악,Музыка,ru-RU
적대적 몹,Враждебные мобы,ru-RU
전체 음량,Общая громкость,ru-RU
주크박스/소리 블록,Музыкальные блоки,ru-RU
친화적 몹,Мирные мобы,ru-RU
플레이어,Игроки,ru-RU
