source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
2代目,The 2nd,en-US,ja-JP,10800081,航战,Aviation Battleship,联动阵营,Collab,,,第二代,,
BLACK★ROCK SHOOTER（后排）,BLACK★ROCK SHOOTER,en-US,ja-JP,900509,战巡,Battlecruiser,联动阵营,Collab,,,BLACK★ROCK SHOOTER（后排）,,
U-556(META),U-556 META,en-US,ja-JP,9708011,潜艇,Submarine,META,META,META,,U-556·META,优可可洛·META,
Z23- 传说级战士,Z23,en-US,ja-JP,900411,驱逐,Destroyer,通用,Universal,,,Z23- 传说级战士,,
かすみ,Kasumi,en-US,ja-JP,10600031,重巡,Heavy Cruiser,联动阵营,Collab,,,霞,蕸,
しずく,Shizuku,en-US,ja-JP,10600111,战列,Battleship,联动阵营,Collab,,,雫,,
たまき,Tamaki,en-US,ja-JP,10600091,战巡,Battlecruiser,联动阵营,Collab,,,环,,
つくし,Tsukushi,en-US,ja-JP,10600131,驱逐,Destroyer,联动阵营,Collab,,,筑紫,,
ときのそら,Tokino Sora,en-US,ja-JP,900804,正航,Aircraft Carrier,联动阵营,Collab,,,时乃空,,
なぎさ,Nagisa,en-US,ja-JP,10600051,战列,Battleship,联动阵营,Collab,,,凪咲,,
なみこ,Namiko,en-US,ja-JP,10800041,重巡,Heavy Cruiser,联动阵营,Collab,,,奈美子,,
はっす,Hass,en-US,ja-JP,10800031,轻巡,Light Cruiser,联动阵营,Collab,,,莲,,
ひめ,Princess Hime,en-US,ja-JP,10800091,运输,Munition Ship,联动阵营,Collab,,,公主,,
ほのか,Honoka,en-US,ja-JP,10600021,战列,Battleship,联动阵营,Collab,,,穗香,,
みさき,Misaki,en-US,ja-JP,10600041,轻巡,Light Cruiser,联动阵营,Collab,,,海咲,,
ゆきの,Yukino,en-US,ja-JP,10600151,轻巡,Light Cruiser,联动阵营,Collab,,,千乃,,
アウグスト・フォン・パーセヴァル,August von Parseval,en-US,ja-JP,499061,正航,Aircraft Carrier,铁血,Iron Blood,,,奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔,
アカスタ,Acasta,en-US,ja-JP,201021,驱逐,Destroyer,皇家,Royal Navy,,,阿卡司塔,,
アキリーズ,Achilles,en-US,ja-JP,202021,轻巡,Light Cruiser,皇家,Royal Navy,,,阿基里斯,,
アクィラ,Aquila,en-US,ja-JP,607011,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,天鹰,,
アストリア,Astoria,en-US,ja-JP,103081,重巡,Heavy Cruiser,白鹰,Eagle Union,,,阿斯托利亚,,
アッティリオ・レゴロ,Attilio Regolo,en-US,ja-JP,601101,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,阿蒂利奥·雷戈洛,,
アトランタ,Atlanta,en-US,ja-JP,102061,轻巡,Light Cruiser,白鹰,Eagle Union,,,亚特兰大,,
アドベンチャー,Adventure,en-US,ja-JP,9600161,风帆,Sailing Frigate,飓风船团,Tempesta,,,冒险号,,
