source,target,tgt_lng
Abeille blessée,ผึ้งเจ็บ,th-TH
Abeille qui entre dans une ruche,ผึ้งเข้ารัง,th-TH
Abeille qui meurt,ผึ้งตาย,th-TH
Abeille qui pique,ผึ้งต่อย,th-TH
Abeille qui sort d'une ruche,ผึ้งออกจากรัง,th-TH
Abeilles au travail,ผึ้งทำงาน,th-TH
Abeja entra en una colmena,ผึ้งเข้ารัง,th-TH
Abeja herida,ผึ้งเจ็บ,th-TH
Abeja muere,ผึ้งตาย,th-TH
Abeja pica,ผึ้งต่อย,th-TH
Abeja sale de una colmena,ผึ้งออกจากรัง,th-TH
Abeja zumba,ผึ้งส่งเสียงหึ่ง,th-TH
Abeja zumba feliz,ผึ้งส่งเสียงหึ่งสุขใจ,th-TH
Abeja zumba furiosa,ผึ้งส่งเสียงหึ่งโกรธเกรี้ยว,th-TH
Abejas trabajan,ผึ้งทำงาน,th-TH
Abelha entra na colmeia,ผึ้งเข้ารัง,th-TH
Abelha ferida,ผึ้งเจ็บ,th-TH
Abelha ferroa,ผึ้งต่อย,th-TH
Abelha morre,ผึ้งตาย,th-TH
Abelha sai da colmeia,ผึ้งออกจากรัง,th-TH
Abelha zumbe,ผึ้งส่งเสียงหึ่ง,th-TH
Abelha zumbe alegremente,ผึ้งส่งเสียงหึ่งสุขใจ,th-TH
Abelha zumbe furiosamente,ผึ้งส่งเสียงหึ่งโกรธเกรี้ยว,th-TH
Abelhas trabalham,ผึ้งทำงาน,th-TH
Aboiement de loup,หมาป่าเห่า,th-TH
Abpinseln,ปัด,th-TH
Acciarino sferraglia,หินเหล็กไฟกับเหล็กกล้ากริก,th-TH
Acqua gocciola,น้ำหยด,th-TH
Acqua gocciola in un calderone,น้ำหยดลงในหม้อปรุงยา,th-TH
Acqua scorre,น้ำไหล,th-TH
Affumicatore affumica,เตารมควันรมควัน,th-TH
Afiladora usada,หินลับมีดถูกใช้,th-TH
Afogado anda,ซอมบี้ใต้น้ำเดิน,th-TH
Afogado ferido,ซอมบี้ใต้น้ำเจ็บ,th-TH
Afogado gorgoleja,ซอมบี้ใต้น้ำส่งเสียงกลั้ว,th-TH
Afogado lança um Tridente,ซอมบี้ใต้น้ำขว้างตรีศูล,th-TH
Afogado morre,ซอมบี้ใต้น้ำตาย,th-TH
Afogado nada,ซอมบี้ใต้น้ำว่ายน้ำ,th-TH
Agricoltore lavora,ชาวนาทำงาน,th-TH
Agricultor trabaja,ชาวนาทำงาน,th-TH
Agricultor trabalha,ชาวนาทำงาน,th-TH
Agua fluyendo,น้ำไหล,th-TH
Agua gotea,น้ำหยด,th-TH
Agua gotea en un caldero,น้ำหยดลงในหม้อปรุงยา,th-TH
Ahogado gorgotea,ซอมบี้ใต้น้ำส่งเสียงกลั้ว,th-TH
Ahogado herido,ซอมบี้ใต้น้ำเจ็บ,th-TH
Ahogado lanza un tridente,ซอมบี้ใต้น้ำขว้างตรีศูล,th-TH
Ahogado muere,ซอมบี้ใต้น้ำตาย,th-TH
Ahogado nadando,ซอมบี้ใต้น้ำว่ายน้ำ,th-TH
Ahumador echa humo,เตารมควันรมควัน,th-TH
Ajolote ataca,แอกโซลอเติลโจมตี,th-TH
Ajolote gorjea,แอกโซลอเติลร้อง,th-TH
Ajolote herido,แอกโซลอเติลเจ็บ,th-TH
Ajolote muere,แอกโซลอเติลตาย,th-TH
Ajolote nadando,แอกโซลอเติลว่ายน้ำ,th-TH
Ajolote recogido,แอกโซลอเติลถูกตัก,th-TH
Ajolote salpica,แอกโซลอเติลกระเพื่อมน้ำ,th-TH
Aksolotl cıvıldıyor,แอกโซลอเติลร้อง,th-TH
Aksolotl hasar aldı,แอกโซลอเติลเจ็บ,th-TH
Aksolotl saldırdı,แอกโซลอเติลโจมตี,th-TH
Aksolotl su sıçrattı,แอกโซลอเติลกระเพื่อมน้ำ,th-TH
Aksolotl yakalandı,แอกโซลอเติลถูกตัก,th-TH
Aksolotl yüzüyor,แอกโซลอเติลว่ายน้ำ,th-TH
Aksolotl öldü,แอกโซลอเติลตาย,th-TH
Alambic qui bouillonne,แท่นปรุงยาพ่นฟอง,th-TH
Alambicco bolle,แท่นปรุงยาพ่นฟอง,th-TH
Alavanca estala,คันโยกโดนโยก,th-TH
Albañil trabaja,ช่างก่อสร้างทำงาน,th-TH
Aldeano acepta,ชาวบ้านเห็นด้วย,th-TH
Aldeano celebra,ชาวบ้านร้องยินดี,th-TH
Aldeano comercia,ชาวบ้านซื้อขาย,th-TH
Aldeano herido,ชาวบ้านเจ็บ,th-TH
Aldeano muere,ชาวบ้านตาย,th-TH
Aldeano murmura,ชาวบ้านพึมพำ,th-TH
Aldeano rechaza,ชาวบ้านไม่เห็นด้วย,th-TH
Aldeano zombi agoniza,ชาวบ้านซอมบี้หวีดร้อง,th-TH
Aldeano zombi gime,ชาวบ้านซอมบี้ร้องครวญ,th-TH
Aldeano zombi herido,ชาวบ้านซอมบี้เจ็บ,th-TH
Aldeano zombi muere,ชาวบ้านซอมบี้ตาย,th-TH
Aldeano zombi respira fuerte,ชาวบ้านซอมบี้หายใจแรง,th-TH
Aldeão aceita,ชาวบ้านเห็นด้วย,th-TH
Aldeão celebra,ชาวบ้านร้องยินดี,th-TH
Aldeão ferido,ชาวบ้านเจ็บ,th-TH
Aldeão morre,ชาวบ้านตาย,th-TH
Aldeão murmura,ชาวบ้านพึมพำ,th-TH
Aldeão recusa,ชาวบ้านไม่เห็นด้วย,th-TH
Aldeão troca,ชาวบ้านซื้อขาย,th-TH
Aldeão Zumbi ferido,ชาวบ้านซอมบี้เจ็บ,th-TH
Aldeão Zumbi funga,ชาวบ้านซอมบี้หายใจแรง,th-TH
Aldeão Zumbi grunhe,ชาวบ้านซอมบี้ร้องครวญ,th-TH
Aldeão Zumbi morre,ชาวบ้านซอมบี้ตาย,th-TH
Aldeão Zumbi vocifera,ชาวบ้านซอมบี้หวีดร้อง,th-TH
Alet Ustası çalışıyor,ช่างเครื่องมือทำงาน,th-TH
Alfombra se suelta,พรมหลุดออก,th-TH
Algo cae,บางสิ่งตกลงมา,th-TH
