source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
Admiral,海军上将,zh-CN,en-US,rank,军衔,
Aircraft Carrier,航空母舰,zh-CN,en-US,hull_type,舰种,
ammunition ship,弹药船,zh-CN,en-US,naval_term,航海/军事术语,
anti-aircraft gun,防空炮,zh-CN,en-US,naval_term,航海/军事术语,
anti-submarine warfare,反潜作战,zh-CN,en-US,naval_term,航海/军事术语,
AR,维修舰,zh-CN,en-US,hull_type,舰种,
armament,武装,zh-CN,en-US,naval_term,航海/军事术语,
armor,装甲,zh-CN,en-US,naval_term,航海/军事术语,
Auxiliary Equipment,设备,zh-CN,en-US,game_term,游戏术语,
Aviation Battleship,航空战列舰,zh-CN,en-US,hull_type,舰种,
Aviation Cruiser,航空巡洋舰,zh-CN,en-US,hull_type,舰种,
Aviation Submarine,潜水航母,zh-CN,en-US,hull_type,舰种,
Barrage,弹幕,zh-CN,en-US,game_term,游戏术语,
Battlecruiser,战列巡洋舰,zh-CN,en-US,hull_type,舰种,
Battleship,战列舰,zh-CN,en-US,hull_type,舰种,
BB,战列舰,zh-CN,en-US,hull_type,舰种,
BBV,航空战列舰,zh-CN,en-US,hull_type,舰种,
BC,战列巡洋舰,zh-CN,en-US,hull_type,舰种,
belt armor,舷侧装甲,zh-CN,en-US,naval_term,航海/军事术语,
blockade,封锁,zh-CN,en-US,naval_term,航海/军事术语,
blueprint,图纸,zh-CN,en-US,naval_term,航海/军事术语,
Blueprint,图纸,zh-CN,en-US,naval_term,航海/军事术语,
BM,浅水重炮舰,zh-CN,en-US,hull_type,舰种,
bow,舰首,zh-CN,en-US,naval_term,航海/军事术语,
bridge,舰桥,zh-CN,en-US,naval_term,航海/军事术语,
CA,重巡洋舰,zh-CN,en-US,hull_type,舰种,
Captain,海军上校,zh-CN,en-US,rank,军衔,
carrier-based aircraft,舰载机,zh-CN,en-US,naval_term,航海/军事术语,
catapult,弹射器,zh-CN,en-US,naval_term,航海/军事术语,
CB,超巡洋舰,zh-CN,en-US,hull_type,舰种,
Chief of Staff,参谋长,zh-CN,en-US,rank,军衔,
CL,轻巡洋舰,zh-CN,en-US,hull_type,舰种,
Cognition,心智,zh-CN,en-US,game_term,游戏术语,
Cognitive Chip,心智单元,zh-CN,en-US,game_term,游戏术语,
Coin,物资,zh-CN,en-US,game_term,游戏术语,
Commander,海军中校,zh-CN,en-US,rank,军衔,
Commander-in-Chief,总司令,zh-CN,en-US,rank,军衔,
Commission,委托,zh-CN,en-US,game_term,游戏术语,
commissioned,服役,zh-CN,en-US,naval_term,航海/军事术语,
Commodore,海军准将,zh-CN,en-US,rank,军衔,
convoy,运输船队,zh-CN,en-US,naval_term,航海/军事术语,
Corvette,轻型护卫舰,zh-CN,en-US,hull_type,舰种,
crew,舰员,zh-CN,en-US,naval_term,航海/军事术语,
cruising range,续航距离,zh-CN,en-US,naval_term,航海/军事术语,
CV,航空母舰,zh-CN,en-US,hull_type,舰种,
CVE,护航航空母舰,zh-CN,en-US,hull_type,舰种,
CVL,轻型航空母舰,zh-CN,en-US,hull_type,舰种,
DD,驱逐舰,zh-CN,en-US,hull_type,舰种,
DDG,导弹驱逐舰,zh-CN,en-US,hull_type,舰种,
DE,护航驱逐舰,zh-CN,en-US,hull_type,舰种,
deck armor,甲板装甲,zh-CN,en-US,naval_term,航海/军事术语,
depth charge,深水炸弹,zh-CN,en-US,naval_term,航海/军事术语,
Destroyer,驱逐舰,zh-CN,en-US,hull_type,舰种,
Destroyer Escort,护航驱逐舰,zh-CN,en-US,hull_type,舰种,
Diamond,钻石,zh-CN,en-US,game_term,游戏术语,
displacement,排水量,zh-CN,en-US,naval_term,航海/军事术语,
dive bomber,俯冲轰炸机,zh-CN,en-US,naval_term,航海/军事术语,
Dorm,后宅,zh-CN,en-US,game_term,游戏术语,
Dragon Empery,东煌,zh-CN,en-US,navy_prefix,阵营/舰名前缀,
dry cargo ship,干货船,zh-CN,en-US,naval_term,航海/军事术语,
