source,target,tgt_lng
"""Chamado Sagrado dos Sete""",Thất Thánh Triệu Hồi,vi-VN
Acciones,Hành Động,vi-VN
Altre regole,Quy Tắc Khác,vi-VN
Andere Regeln,Quy Tắc Khác,vi-VN
Area di gioco,Khu Vực Trò Chơi,vi-VN
Automatic Artistry Elemental Reactions: Effects,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Automatic Artistry Rules,Quy Tắc Chiến Lược Tự Động,vi-VN
Automatic Artistry Special Entry,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Autres règles,Quy Tắc Khác,vi-VN
Azioni,Hành Động,vi-VN
Begriffserläuterungen,Mục Đặc Biệt,vi-VN
Dehanın Yakarışı Kart Oyunu,Thất Thánh Triệu Hồi,vi-VN
Divers,Mục Đặc Biệt,vi-VN
Diğer Kurallar,Quy Tắc Khác,vi-VN
Déroulement de manche,Quy Trình Hiệp Đấu,vi-VN
Effetti delle reazioni elementali,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Effetti delle reazioni elementali di Talento automatico,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Element Tepkimeleri: Etkiler,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Element Tepkimeleri: Kurallar,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Elemental Reactions: Effects,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Elemental Reactions: Rules,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Elementarreaktionen und Effekte für Automatische Kunstfertigkeit,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Elementarreaktionen – Effekt,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Elementarreaktionen – Regel,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Entrada Especial,Mục Đặc Biệt,vi-VN
Entrada Especial de Arte Automática,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Entradas especiales,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Entrée spéciale de jeu automatisé,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Executar Ação,Hành Động,vi-VN
Factor especial,Mục Đặc Biệt,vi-VN
Fases de la ronda,Quy Trình Hiệp Đấu,vi-VN
GCC Invokazione del genio,Thất Thánh Triệu Hồi,vi-VN
Game Area,Khu Vực Trò Chơi,vi-VN
Geniale Beschwörung,Thất Thánh Triệu Hồi,vi-VN
Genius Invokation TCG,Thất Thánh Triệu Hồi,vi-VN
Hamle Yap,Hành Động,vi-VN
Invocación de los Sabios,Thất Thánh Triệu Hồi,vi-VN
Invocation des Sept : JCC,Thất Thánh Triệu Hồi,vi-VN
Other Rules,Quy Tắc Khác,vi-VN
Otomatik Savaş Sanatı Kuralları,Quy Tắc Chiến Lược Tự Động,vi-VN
Otomatik Savaş Sanatına Özel Mekanikler,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Otomatik Savaş Sanatında Element Tepkimeleri: Etkiler,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Otros,Quy Tắc Khác,vi-VN
Outras Regras,Quy Tắc Khác,vi-VN
Oyun Alanı,Khu Vực Trò Chơi,vi-VN
Prise d'action,Hành Động,vi-VN
Progresso do Turno,Quy Trình Hiệp Đấu,vi-VN
Reacciones Elementales - Efectos,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Reacciones Elementales - Efectos,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Reacciones Elementales - Reglas,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Reações Elementais - Efeitos,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Reações Elementais - Regras,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Reações Elementais de Arte Automática: Efeitos,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Regeln für Automatische Kunstfertigkeit,Quy Tắc Chiến Lược Tự Động,vi-VN
Reglas,Quy Tắc Chiến Lược Tự Động,vi-VN
Regole Talento automatico,Quy Tắc Chiến Lược Tự Động,vi-VN
Regole delle reazioni elementali,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Regras de Arte Automática,Quy Tắc Chiến Lược Tự Động,vi-VN
Round Flow,Quy Trình Hiệp Đấu,vi-VN
Règles du jeu automatisé,Quy Tắc Chiến Lược Tự Động,vi-VN
Réactions élémentaires : Effets,Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Réactions élémentaires : Règles,Quy Tắc Phản Ứng Nguyên Tố,vi-VN
Réactions élémentaires de jeu automatisé : Effets,Chiến Lược Tự Động: Hiệu Quả Phản Ứng Nguyên Tố,vi-VN
Sondereinträge für Automatische Kunstfertigkeit,Chiến Lược Tự Động: Mục Đặc Biệt,vi-VN
Special Entry,Mục Đặc Biệt,vi-VN
Spielbereich,Khu Vực Trò Chơi,vi-VN
