source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
Aircraft Carrier,航空母艦,ja-JP,en-US,hull_type,舰种,
anti-aircraft gun,高角砲,ja-JP,en-US,naval_term,航海/军事术语,
AR,工作艦,ja-JP,en-US,hull_type,舰种,
armament,兵装,ja-JP,en-US,naval_term,航海/军事术语,
armor,装甲,ja-JP,en-US,naval_term,航海/军事术语,
Aviation Battleship,航空戦艦,ja-JP,en-US,hull_type,舰种,
Aviation Cruiser,航空巡洋艦,ja-JP,en-US,hull_type,舰种,
Aviation Submarine,潜水空母,ja-JP,en-US,hull_type,舰种,
Barrage,弾幕,ja-JP,en-US,game_term,游戏术语,
Battlecruiser,巡洋戦艦,ja-JP,en-US,hull_type,舰种,
Battleship,戦艦,ja-JP,en-US,hull_type,舰种,
BB,戦艦,ja-JP,en-US,hull_type,舰种,
BBV,航空戦艦,ja-JP,en-US,hull_type,舰种,
BC,巡洋戦艦,ja-JP,en-US,hull_type,舰种,
blockade,封鎖,ja-JP,en-US,naval_term,航海/军事术语,
blueprint,図面,ja-JP,en-US,naval_term,航海/军事术语,
Blueprint,図面,ja-JP,en-US,naval_term,航海/军事术语,
bow,艦首,ja-JP,en-US,naval_term,航海/军事术语,
bridge,艦橋,ja-JP,en-US,naval_term,航海/军事术语,
CA,重巡洋艦,ja-JP,en-US,hull_type,舰种,
carrier-based aircraft,艦載機,ja-JP,en-US,naval_term,航海/军事术语,
catapult,カタパルト,ja-JP,en-US,naval_term,航海/军事术语,
CB,超甲型巡洋艦,ja-JP,en-US,hull_type,舰种,
Chief of Staff,参謀長,ja-JP,en-US,rank,军衔,
CL,軽巡洋艦,ja-JP,en-US,hull_type,舰种,
Coin,資材,ja-JP,en-US,game_term,游戏术语,
Commission,委託,ja-JP,en-US,game_term,游戏术语,
commissioned,就役,ja-JP,en-US,naval_term,航海/军事术语,
convoy,船団,ja-JP,en-US,naval_term,航海/军事术语,
crew,乗員,ja-JP,en-US,naval_term,航海/军事术语,
cruising range,航続距離,ja-JP,en-US,naval_term,航海/军事术语,
CV,航空母艦,ja-JP,en-US,hull_type,舰种,
CVE,護衛空母,ja-JP,en-US,hull_type,舰种,
CVL,軽空母,ja-JP,en-US,hull_type,舰种,
DD,駆逐艦,ja-JP,en-US,hull_type,舰种,
depth charge,爆雷,ja-JP,en-US,naval_term,航海/军事术语,
Destroyer,駆逐艦,ja-JP,en-US,hull_type,舰种,
Diamond,ダイヤ,ja-JP,en-US,game_term,游戏术语,
displacement,排水量,ja-JP,en-US,naval_term,航海/军事术语,
dive bomber,急降下爆撃機,ja-JP,en-US,naval_term,航海/军事术语,
Dorm,寮,ja-JP,en-US,game_term,游戏术语,
Dragon Empery,東煌,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
dry dock,乾ドック,ja-JP,en-US,naval_term,航海/军事术语,
Eagle Union,白鷹,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
Equipment,装備,ja-JP,en-US,game_term,游戏术语,
escort,護衛,ja-JP,en-US,naval_term,航海/军事术语,
Escort Carrier,護衛空母,ja-JP,en-US,hull_type,舰种,
Exercise,演習,ja-JP,en-US,game_term,游戏术语,
fighter,戦闘機,ja-JP,en-US,naval_term,航海/军事术语,
flagship,旗艦,ja-JP,en-US,naval_term,航海/军事术语,
fleet,艦隊,ja-JP,en-US,naval_term,航海/军事术语,
Fleet,艦隊,ja-JP,en-US,naval_term,航海/军事术语,
flight deck,飛行甲板,ja-JP,en-US,naval_term,航海/军事术语,
flotilla,水雷戦隊,ja-JP,en-US,naval_term,航海/军事术语,
full load displacement,満載排水量,ja-JP,en-US,naval_term,航海/军事术语,
funnel,煙突,ja-JP,en-US,naval_term,航海/军事术语,
Gunboat,砲艦,ja-JP,en-US,hull_type,舰种,
Heavy Cruiser,重巡洋艦,ja-JP,en-US,hull_type,舰种,
hull,船体,ja-JP,en-US,naval_term,航海/军事术语,
Iris Libre,アイリス,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
Iron Blood,鉄血,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
knot,ノット,ja-JP,en-US,naval_term,航海/军事术语,
Large Cruiser,超甲型巡洋艦,ja-JP,en-US,hull_type,舰种,
launched,進水,ja-JP,en-US,naval_term,航海/军事术语,
lead ship,ネームシップ,ja-JP,en-US,naval_term,航海/军事术语,
Light Carrier,軽空母,ja-JP,en-US,hull_type,舰种,
Light Cruiser,軽巡洋艦,ja-JP,en-US,hull_type,舰种,
Limit Break,限界突破,ja-JP,en-US,game_term,游戏术语,
machine gun,機銃,ja-JP,en-US,naval_term,航海/军事术语,
main fleet,主力艦隊,ja-JP,en-US,naval_term,航海/军事术语,
main gun,主砲,ja-JP,en-US,naval_term,航海/军事术语,
mast,マスト,ja-JP,en-US,naval_term,航海/军事术语,
Munition Ship,輸送艦,ja-JP,en-US,hull_type,舰种,
naval bombardment,艦砲射撃,ja-JP,en-US,naval_term,航海/军事术语,
Northern Parliament,北方連合,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
Oath,誓約,ja-JP,en-US,game_term,游戏术语,
Oath Ring,誓約の指輪,ja-JP,en-US,game_term,游戏术语,
Oil,石油,ja-JP,en-US,game_term,游戏术语,
patrol,哨戒,ja-JP,en-US,naval_term,航海/军事术语,
radar,レーダー,ja-JP,en-US,naval_term,航海/军事术语,
reconnaissance,偵察,ja-JP,en-US,naval_term,航海/军事术语,
reconnaissance aircraft,偵察機,ja-JP,en-US,naval_term,航海/军事术语,
refit,改装,ja-JP,en-US,naval_term,航海/军事术语,
Repair Ship,工作艦,ja-JP,en-US,hull_type,舰种,
Retrofit,改造,ja-JP,en-US,game_term,游戏术语,
Royal Navy,ロイヤル,ja-JP,en-US,navy_prefix,阵营/舰名前缀,
