source,target,tgt_lng
%2$sを%1$s体倒しました,Vous en avez tué %s,fr-FR
%2$s을(를) %1$s번 죽였습니다,Vous en avez tué %s,fr-FR
%s %s öldürdün,Vous en avez tué %s,fr-FR
%s hat dich %s‐mal getötet,Cette créature vous a déjà tué %2$s fois,fr-FR
%s killed you %s time(s),Cette créature vous a déjà tué %2$s fois,fr-FR
%s nunca matou você,Cette créature ne vous a jamais tué,fr-FR
%s seni %s defa öldürdü,Cette créature vous a déjà tué %2$s fois,fr-FR
%s tarafından hiç öldürülmediniz,Cette créature ne vous a jamais tué,fr-FR
%s đã giết bạn %s lần,Cette créature vous a déjà tué %2$s fois,fr-FR
%s убил вас %s раз,Cette créature vous a déjà tué %2$s fois,fr-FR
%s ฆ่าคุณ %s ครั้ง,Cette créature vous a déjà tué %2$s fois,fr-FR
%sに%s回倒されました,Cette créature vous a déjà tué %2$s fois,fr-FR
%s杀死了你%s次,Cette créature vous a déjà tué %2$s fois,fr-FR
%s에게 %s번 죽었습니다,Cette créature vous a déjà tué %2$s fois,fr-FR
%s에게 죽은 적이 없습니다,Cette créature ne vous a jamais tué,fr-FR
%s을(를) 죽인 적이 없습니다,Vous n'en avez jamais tué,fr-FR
Abgebaut,Quantité minée,fr-FR
Acqua prelevata da calderoni,Eau prise de chaudrons,fr-FR
Agua tomada de calderos,Eau prise de chaudrons,fr-FR
Almalar,Quantité ramassée,fr-FR
Alvos atingidos,Cibles touchées,fr-FR
Alınan Hasar,Dégâts reçus,fr-FR
Ambosse benutzt,Interactions avec une enclume,fr-FR
Animais acasalados,Animaux engendrés,fr-FR
Animales criados,Animaux engendrés,fr-FR
Animali allevati,Animaux engendrés,fr-FR
Animals Bred,Animaux engendrés,fr-FR
Aranan Bırakıcılar,Droppers inspectés,fr-FR
Aranan Fırlatıcılar,Distributeurs inspectés,fr-FR
Aranan Huniler,Entonnoirs inspectés,fr-FR
Armaduras de cuero desteñidas,Pièces d'armure nettoyées,fr-FR
Armor Pieces Cleaned,Pièces d'armure nettoyées,fr-FR
Atla Alınan Yol,Distance à cheval,fr-FR
Aufgesammelt,Quantité ramassée,fr-FR
Ayarlanan Nota Blokları,Blocs musicaux accordés,fr-FR
Açılan Ender Sandıkları,Coffres de l'Ender ouverts,fr-FR
Açılan Fıçılar,Tonneaux ouverts,fr-FR
Açılan Sandıklar,Coffres ouverts,fr-FR
Açılan Shulker Kutuları,Boîtes de Shulker ouvertes,fr-FR
Banner gewaschen,Bannières nettoyées,fr-FR
Banners Cleaned,Bannières nettoyées,fr-FR
Barili aperti,Tonneaux ouverts,fr-FR
Barrels Opened,Tonneaux ouverts,fr-FR
Barriles abiertos,Tonneaux ouverts,fr-FR
Barris abertos,Tonneaux ouverts,fr-FR
Bauli aperti,Coffres ouverts,fr-FR
Bauli di ender aperti,Coffres de l'Ender ouverts,fr-FR
Bauli trappola attivati,Coffres piégés déclenchés,fr-FR
Baús abertos,Coffres ouverts,fr-FR
Baús com Armadilha acionados,Coffres piégés déclenchés,fr-FR
Baús de Ender abertos,Coffres de l'Ender ouverts,fr-FR
Bells Rung,Cloches sonnées,fr-FR
Benutzt,Nombre d'utilisations,fr-FR
Bersagli colpiti,Cibles touchées,fr-FR
Bett benutzt,Nuits passées dans un lit,fr-FR
Bileme Taşı ile etkileşimler,Interactions avec une meule,fr-FR
Blocchi sonori accordati,Blocs musicaux accordés,fr-FR
Blocchi sonori suonati,Blocs musicaux joués,fr-FR
Blocos Musicais afinados,Blocs musicaux accordés,fr-FR
Blocos Musicais tocados,Blocs musicaux joués,fr-FR
Bloques musicales afinados,Blocs musicaux accordés,fr-FR
Bloques musicales tocados,Blocs musicaux joués,fr-FR
Braustände benutzt,Interactions avec un alambic,fr-FR
Büyülenen Eşyalar,Objets enchantés,fr-FR
Bırakmalar,Quantité jetée,fr-FR
Bırakılan Eşyalar,Objets jetés,fr-FR
Bạn chưa bao giờ bị giết bởi %s,Cette créature ne vous a jamais tué,fr-FR
Bạn chưa bao giờ giết %s,Vous n'en avez jamais tué,fr-FR
Bạn đã giết %s %s,Vous en avez tué %s,fr-FR
Caixas de Shulker abertas,Boîtes de Shulker ouvertes,fr-FR
Caixas de Shulker limpas,Boîtes de Shulker nettoyées,fr-FR
Cajas de shulker abiertas,Boîtes de Shulker ouvertes,fr-FR
