source,target,tgt_lng
昆士区,昆士區,zh-TW
Quince,昆士區,zh-TW
コンシ区,昆士區,zh-TW
퀸즈 타운,昆士區,zh-TW
เขตควินซ์,昆士區,zh-TW
普通街道-黄昏,普通街道-黃昏,zh-TW
Normal Street - Sunset,普通街道-黃昏,zh-TW
市街地-夕暮れ,普通街道-黃昏,zh-TW
일반 거리 - 황혼,普通街道-黃昏,zh-TW
ถนนทั่วไป - พลบค่ำ,普通街道-黃昏,zh-TW
Funny电玩城-大厅,Funny電玩城-大廳,zh-TW
Funny Arcade - Lobby,Funny電玩城-大廳,zh-TW
Funnyゲームセンター-ホール,Funny電玩城-大廳,zh-TW
Funny 게임 센터 - 홀,Funny電玩城-大廳,zh-TW
ศูนย์​เกม​อาร์​เคด​ Funny​ -​ ล็อบบี้​,Funny電玩城-大廳,zh-TW
贝克街-雨,貝克街-雨,zh-TW
Baker Street - Rainy,貝克街-雨,zh-TW
ベイカーストリート-雨,貝克街-雨,zh-TW
베이커 가 - 비,貝克街-雨,zh-TW
ถนนเบเกอร์ - ฝนตก,貝克街-雨,zh-TW
南港区,南港區,zh-TW
Southport,南港區,zh-TW
사우스포트,南港區,zh-TW
เขตทะเลใต้,南港區,zh-TW
玩偶工厂,玩偶工廠,zh-TW
Doll Factory,玩偶工廠,zh-TW
ぬいぐるみ工房,玩偶工廠,zh-TW
인형 공장,玩偶工廠,zh-TW
โรงงานตุ๊กตา,玩偶工廠,zh-TW
涩谷,澀穀,zh-TW
Shibuya,澀穀,zh-TW
渋谷,澀穀,zh-TW
시부야,澀穀,zh-TW
ชิบูย่า,澀穀,zh-TW
Feature,功能,zh-TW
機能,功能,zh-TW
기능,功能,zh-TW
ฟังก์ชัน,功能,zh-TW
Bamboo Forest,竹林副本,zh-TW
竹林ステージ,竹林副本,zh-TW
대나무 숲 던전,竹林副本,zh-TW
ดันเจี้ยนป่าไผ่,竹林副本,zh-TW
竹林活动,竹林活動,zh-TW
Bamboo Forest Event,竹林活動,zh-TW
竹林イベント,竹林活動,zh-TW
대나무 숲 이벤트,竹林活動,zh-TW
กิจกรรมป่าไผ่,竹林活動,zh-TW
小红帽场景,小紅帽場景,zh-TW
Little Red Riding Hood,小紅帽場景,zh-TW
赤ずきんのシーン,小紅帽場景,zh-TW
빨간 망토 씬,小紅帽場景,zh-TW
ฉากหนูน้อยหมวกแดง,小紅帽場景,zh-TW
New Street - Night,新街道-夜,zh-TW
新市街-夜,新街道-夜,zh-TW
신시가지 - 밤,新街道-夜,zh-TW
ถนนสายใหม่ - กลางคืน,新街道-夜,zh-TW
凛北区,凜北區,zh-TW
Boreala,凜北區,zh-TW
노스 타운,凜北區,zh-TW
เขตโบเรียร่า,凜北區,zh-TW
足球场景,足球場景,zh-TW
Soccer Field,足球場景,zh-TW
サッカーシーン,足球場景,zh-TW
축구 씬,足球場景,zh-TW
ฉากสนามฟุตบอล,足球場景,zh-TW
商业街,商業街,zh-TW
Commercial Street,商業街,zh-TW
繁華街,商業街,zh-TW
