category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
04_story_title,剧情标题,StoryIndex.main.0,序章,プロローグ,序章,Prologue,프롤로그,บทนำ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.11000,序章 1.1,プロローグ 1.1,序章 1.1,Prologue 1.1,프롤로그 1.1,บทนำ 1.1,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.1,Vol.3 伊甸条约篇 第1章,Vol.3 エデン条約編 1章,Vol.3 伊甸條約篇 第1章,Vol.3 Eden Treaty Chapter 1,Vol.3 에덴 조약편 1장,Vol.3 สนธิสัญญาเอเดน ตอนที่ 1,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31010,序章,プロローグ,序幕,Prologue,프롤로그,บทเริ่มต้น,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31020,补习部,補習授業部,補課部,Make-Up Work Club,보충수업부,ชมรมชั้นเรียนเสริม,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31030,茶会,ティーパーティー,茶會,Tea Party,티파티,สภาน้ำชา,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31040,补习部的学生们（1）,補習授業部の生徒たち（１）,補課部的學生們（１）,Failing Students Part 1,낙제생들 1,นักเรียนที่สอบตก 1,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31050,补习部的学生们（2）,補習授業部の生徒たち（２）,補課部的學生們（２）,Failing Students Part 2,낙제생들 2,นักเรียนที่สอบตก 2,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31060,来做一下自我介绍吧！,自己紹介をしましょう！,來自我介紹吧！,Breaking the Ice,자기소개의 시간,เวลาสำหรับการแนะนำตัว,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31070,准备考试,試験勉強,準備考試,Exam Prep,시험 준비,เตรียมตัวสอบ,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31080,第1次特别学力考试,第1次特別学力試験,第1次特別學力測驗,The First Evaluation Exam,제1차 평가 시험,การสอบประเมินครั้งที่ 1,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31090,暗流涌动,水面下に揺らめく影,水面下搖曳的影子,What Lurks in the Depths,수면 아래의 것들,สิ่งที่ซ่อนอยู่เบื้องลึก,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31100,合宿，开始！,合宿、スタート！,合宿，開始！,"Boot Camp, Here We Come!","합숙, 시작합니다!",เริ่มแคมป์ฝึกฝน!,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31110,大扫除！,大掃除！,大掃除！,Spring Cleaning!,대청소!,ทำความสะอาดครั้งใหญ่!,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31120,合宿第一天的夜晚,合宿初日の夜,合宿初日的夜晚,First Night of Boot Camp,합숙의 첫날 밤,คืนแรกในแคมป์ฝึกฝน,story-viewer:mainStoryIndex.ts
04_story_title,剧情标题,StoryIndex.main.31130,补习部的模拟考试,補習授業部の模擬試験,補課部的模擬測驗,First Mock Exam,제1차 모의시험,การสอบเสมือนจริงครั้งที่ 1,story-viewer:mainStoryIndex.ts
