source,target,tgt_lng
Aletler ve Araçlar,도구 및 유용한 물건,ko-KR
Alimentos e bebidas,음식 및 음료,ko-KR
Attrezzi e utilità,도구 및 유용한 물건,ko-KR
Barras de objetos guardadas,저장된 단축 바,ko-KR
Barras rápidas salvas,저장된 단축 바,ko-KR
Barre rapide salvate,저장된 단축 바,ko-KR
Barres d'action sauvegardées,저장된 단축 바,ko-KR
Baublöcke,건축 블록,ko-KR
Blocchi colorati,색깔 블록,ko-KR
Blocchi da costruzione,건축 블록,ko-KR
Blocchi funzionali,기능 블록,ko-KR
Blocchi naturali,자연 블록,ko-KR
Blocos coloridos,색깔 블록,ko-KR
Blocos de construção,건축 블록,ko-KR
Blocos de operador,관리자 도구,ko-KR
Blocos de Redstone,레드스톤 블록,ko-KR
Blocos funcionais,기능 블록,ko-KR
Blocos naturais,자연 블록,ko-KR
Blocs colorés,색깔 블록,ko-KR
Blocs de construction,건축 블록,ko-KR
Blocs fonctionnels,기능 블록,ko-KR
Blocs naturels,자연 블록,ko-KR
Bloques de colores,색깔 블록,ko-KR
Bloques de construcción,건축 블록,ko-KR
Bloques funcionales,기능 블록,ko-KR
Bloques naturales,자연 블록,ko-KR
Building Blocks,건축 블록,ko-KR
Buscar itens,아이템 검색,ko-KR
Búsqueda,아이템 검색,ko-KR
Cerca...,아이템 검색,ko-KR
Chiến đấu,전투,ko-KR
Chế tạo,제작,ko-KR
Cibi e bevande,음식 및 음료,ko-KR
Colored Blocks,색깔 블록,ko-KR
Combat,전투,ko-KR
Combate,전투,ko-KR
Combattimento,전투,ko-KR
Comida y bebida,음식 및 음료,ko-KR
Consommables,음식 및 물약,ko-KR
Consumabili,음식 및 물약,ko-KR
Consumables,음식 및 물약,ko-KR
Consumibles,음식 및 물약,ko-KR
Consumíveis,음식 및 물약,ko-KR
Crafting,제작,ko-KR
Criaturas,생성 알,ko-KR
Công cụ & tiện ích,도구 및 유용한 물건,ko-KR
Doğal Bloklar,자연 블록,ko-KR
Eşya Ara,아이템 검색,ko-KR
Fabbricazione,제작,ko-KR
Fabrication,제작,ko-KR
Fabricação,제작,ko-KR
Farbige Blöcke,색깔 블록,ko-KR
Ferramentas e utilidades,도구 및 유용한 물건,ko-KR
Food & Drinks,음식 및 음료,ko-KR
Functional Blocks,기능 블록,ko-KR
Gebrauchsblöcke,기능 블록,ko-KR
Gespeicherte Schnellzugriffsleisten,저장된 단축 바,ko-KR
Hayatta Kalma Envanteri,서바이벌 보관함,ko-KR
Herramientas de admin.,관리자 도구,ko-KR
Herramientas y útiles,도구 및 유용한 물건,ko-KR
Ingredientes,재료,ko-KR
Ingredienti,재료,ko-KR
Ingredients,재료,ko-KR
Ingrédients,재료,ko-KR
Inventaire du mode Survie,서바이벌 보관함,ko-KR
Inventario,서바이벌 보관함,ko-KR
Inventario de supervivencia,서바이벌 보관함,ko-KR
Inventário de Sobrevivência,서바이벌 보관함,ko-KR
İnşaat Blokları,건축 블록,ko-KR
İşlevsel Bloklar,기능 블록,ko-KR
Kampf,전투,ko-KR
Kaydedilen Araç Çubukları,저장된 단축 바,ko-KR
Khối chức năng,기능 블록,ko-KR
Khối màu sắc,색깔 블록,ko-KR
Khối Redstone,레드스톤 블록,ko-KR
Khối tự nhiên,자연 블록,ko-KR
Khối xây dựng,건축 블록,ko-KR
Malzemeler,재료,ko-KR
Materiales,제작,ko-KR
Nahrungsmittel & Tränke,음식 및 물약,ko-KR
Nahrungsmittel & Tränke,음식 및 음료,ko-KR
Natural Blocks,자연 블록,ko-KR
Naturblöcke,자연 블록,ko-KR
Nguyên liệu,재료,ko-KR
Nourriture et boissons,음식 및 음료,ko-KR
Operator Utilities,관리자 도구,ko-KR
Operatorhilfsmittel,관리자 도구,ko-KR
Outils et utilitaires,도구 및 유용한 물건,ko-KR
Ovos geradores,생성 알,ko-KR
Rechercher,아이템 검색,ko-KR
Redstone,레드스톤 블록,ko-KR
Redstone Blocks,레드스톤 블록,ko-KR
Redstone Blokları,레드스톤 블록,ko-KR
Renkli Bloklar,색깔 블록,ko-KR
Saldırı,전투,ko-KR
Saved Hotbars,저장된 단축 바,ko-KR
Search Items,아이템 검색,ko-KR
Spawn Eggs,생성 알,ko-KR
Spawn‐Eier,생성 알,ko-KR
Suche,아이템 검색,ko-KR
Survival Inventory,서바이벌 보관함,ko-KR
Thanh nóng đã lưu,저장된 단축 바,ko-KR
Thực phẩm & đồ uống,음식 및 음료,ko-KR
Tiện ích người điều hành,관리자 도구,ko-KR
Tools & Utilities,도구 및 유용한 물건,ko-KR
Trứng sinh ra,생성 알,ko-KR
Tìm vật phẩm,아이템 검색,ko-KR
Túi đồ chế độ sinh tồn,서바이벌 보관함,ko-KR
Tüketilebilirler,음식 및 물약,ko-KR
Uova generatrici,생성 알,ko-KR
Utilitaires d'opérateur,관리자 도구,ko-KR
Utilità per operatori,관리자 도구,ko-KR
Vật phẩm tiêu thụ,음식 및 물약,ko-KR
Werkstoffe,재료,ko-KR
Werkstoffe,제작,ko-KR
Werkzeuge & Hilfsmittel,도구 및 유용한 물건,ko-KR
Yiyecek ve İçecekler,음식 및 음료,ko-KR
Yönetici Araçları,관리자 도구,ko-KR
Çağırma Yumurtaları,생성 알,ko-KR
Überlebensinventar,서바이벌 보관함,ko-KR
Üretim,제작,ko-KR
Œufs d'apparition,생성 알,ko-KR
Еда и напитки,음식 및 물약,ko-KR
Еда и напитки,음식 및 음료,ko-KR
Инвентарь выживания,서바이벌 보관함,ko-KR
Ингредиенты,재료,ko-KR
Инструменты и приспособления,도구 및 유용한 물건,ko-KR
Инструменты оператора,관리자 도구,ko-KR
Оружие и доспехи,전투,ko-KR
Поиск,아이템 검색,ko-KR
Природные блоки,자연 블록,ko-KR
Разноцветные блоки,색깔 블록,ko-KR
Редстоун-механика,레드스톤 블록,ko-KR
Создание,제작,ko-KR
Сохранённые инструменты,저장된 단축 바,ko-KR
Строительные блоки,건축 블록,ko-KR
Функциональные блоки,기능 블록,ko-KR
Яйца призыва,생성 알,ko-KR
การต่อสู้,전투,ko-KR
ค้นหาไอเทม,아이템 검색,ko-KR
ช่องเก็บของเอาชีวิตรอด,서바이벌 보관함,ko-KR
บล็อกก่อสร้าง,건축 블록,ko-KR
บล็อกธรรมชาติ,자연 블록,ko-KR
บล็อกฟังก์ชัน,기능 블록,ko-KR
บล็อกสี,색깔 블록,ko-KR
บล็อกเรดสโตน,레드스톤 블록,ko-KR
วัตถุดิบ,재료,ko-KR
สิ่งที่คราฟต์ขึ้น,제작,ko-KR
สิ่งบริโภค,음식 및 물약,ko-KR
สิ่งอำนวยประโยชน์แก่ผู้ควบคุม,관리자 도구,ko-KR
อาหารและเครื่องดื่ม,음식 및 음료,ko-KR
เครื่องมือและสิ่งอำนวยประโยชน์,도구 및 유용한 물건,ko-KR
แถบลัดที่บันทึกไว้,저장된 단축 바,ko-KR
ไข่เกิด,생성 알,ko-KR
アイテム検索,아이템 검색,ko-KR
クラフト,제작,ko-KR
サバイバルインベントリ,서바이벌 보관함,ko-KR
スポーンエッグ,생성 알,ko-KR
レッドストーン系ブロック,레드스톤 블록,ko-KR
保存したホットバー,저장된 단축 바,ko-KR
刷怪蛋,생성 알,ko-KR
功能方块,기능 블록,ko-KR
功能方塊,기능 블록,ko-KR
原材料,재료,ko-KR
合成用品,제작,ko-KR
天然ブロック,자연 블록,ko-KR
工具与实用物品,도구 및 유용한 물건,ko-KR
工具及實用物品,도구 및 유용한 물건,ko-KR
已保存的快捷栏,저장된 단축 바,ko-KR
已儲存的快捷欄,저장된 단축 바,ko-KR
建筑方块,건축 블록,ko-KR
建築ブロック,건축 블록,ko-KR
建築方塊,건축 블록,ko-KR
