source,target,tgt_lng,src_lng,category,category_zh,same_source_alternatives
Admiral,대장,ko-KR,en-US,rank,军衔,
Aircraft Carrier,항공모함,ko-KR,en-US,hull_type,舰种,
ammunition ship,탄약운반함,ko-KR,en-US,naval_term,航海/军事术语,
anti-aircraft gun,대공포,ko-KR,en-US,naval_term,航海/军事术语,
anti-submarine warfare,대잠전,ko-KR,en-US,naval_term,航海/军事术语,
AR,공작함,ko-KR,en-US,hull_type,舰种,
armament,무장,ko-KR,en-US,naval_term,航海/军事术语,
armor,장갑,ko-KR,en-US,naval_term,航海/军事术语,
Auxiliary Equipment,보조장비,ko-KR,en-US,game_term,游戏术语,
Aviation Battleship,항공전함,ko-KR,en-US,hull_type,舰种,
Aviation Cruiser,항공순양함,ko-KR,en-US,hull_type,舰种,
Aviation Submarine,잠수항모,ko-KR,en-US,hull_type,舰种,
Barrage,탄막,ko-KR,en-US,game_term,游戏术语,
Battlecruiser,순양전함,ko-KR,en-US,hull_type,舰种,
Battleship,전함,ko-KR,en-US,hull_type,舰种,
BB,전함,ko-KR,en-US,hull_type,舰种,
BBV,항공전함,ko-KR,en-US,hull_type,舰种,
BC,순양전함,ko-KR,en-US,hull_type,舰种,
belt armor,현측장갑,ko-KR,en-US,naval_term,航海/军事术语,
blockade,봉쇄,ko-KR,en-US,naval_term,航海/军事术语,
blueprint,도면,ko-KR,en-US,naval_term,航海/军事术语,
Blueprint,도면,ko-KR,en-US,naval_term,航海/军事术语,
BM,모니터함,ko-KR,en-US,hull_type,舰种,
bow,함수,ko-KR,en-US,naval_term,航海/军事术语,
bridge,함교,ko-KR,en-US,naval_term,航海/军事术语,
CA,중순양함,ko-KR,en-US,hull_type,舰种,
Captain,대령,ko-KR,en-US,rank,军衔,
carrier-based aircraft,함재기,ko-KR,en-US,naval_term,航海/军事术语,
catapult,캐터펄트,ko-KR,en-US,naval_term,航海/军事术语,
CB,대형순양함,ko-KR,en-US,hull_type,舰种,
Chief of Staff,참모장,ko-KR,en-US,rank,军衔,
CL,경순양함,ko-KR,en-US,hull_type,舰种,
Cognition,성정,ko-KR,en-US,game_term,游戏术语,
Cognitive Chip,성정 유닛,ko-KR,en-US,game_term,游戏术语,
Coin,자재,ko-KR,en-US,game_term,游戏术语,
Commander,중령,ko-KR,en-US,rank,军衔,
Commander-in-Chief,총사령관,ko-KR,en-US,rank,军衔,
Commission,위탁,ko-KR,en-US,game_term,游戏术语,
commissioned,취역,ko-KR,en-US,naval_term,航海/军事术语,
Commodore,준장,ko-KR,en-US,rank,军衔,
