source,target,tgt_lng
"""'M'nin Lütfu""","""A Blessing From 'M'""",en-US
"""Aquele Garoto vai Fazer uma Fortuna...""","""I'd Rather Lose Money Myself...""",en-US
"""Bereket Kolektifi""","""Collective of Plenty""",en-US
"""Bir Zamanlar Karanlık Felaketi Uzak Tutan Yalnız Rüzgar...""","""Once, the Lone Wind That Kept the Dark Calamity at Bay...""",en-US
"""Bá Vương Tối Thượng Siêu Cấp Ma Kiếm""","""Ultimate Overlord's Mega Magic Sword""",en-US
"""Chúc Phúc Của Ma Nữ M""","""A Blessing From 'M'""",en-US
"""Chủ Nhân Gió Đêm""","""Masters of the Night-Wind""",en-US
"""Coi Đồ Nhóc Đó Kiếm Tiền...""","""I'd Rather Lose Money Myself...""",en-US
"""Colui che si oppose alle maree delle acque oscure come un macigno...""","""Once Stood Against the Tide of Dark Waters Like Bedrock...""",en-US
"""Coşku Dolu Ritimler""","""Revelrous Beats""",en-US
"""Công Việc Dọn Dẹp""","""Called In For Cleanup""",en-US
"""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""","""Hear Me — Let Us Raise the Chalice of Love!""",en-US
"""Cư Dân Suối Nước""","""People of the Springs""",en-US
"""Cộng Đồng Trù Phú""","""Collective of Plenty""",en-US
"""Duyun Sesimi! Aşk Kadehini Kaldıralım!""","""Hear Me — Let Us Raise the Chalice of Love!""",en-US
"""Dòng Dõi Vườn Treo""","""Scions of the Canopy""",en-US
"""Ergueu-se como um penhasco contra a maré das águas escuras...""","""Once Stood Against the Tide of Dark Waters Like Bedrock...""",en-US
"""Gece Rüzgarının Ustaları""","""Masters of the Night-Wind""",en-US
"""Gök Kubbenin Evlatları""","""Scions of the Canopy""",en-US
"""Hội Hoa Vũ""","""Flower-Feather Clan""",en-US
"""Hỡi Đôi Môi, Hãy Dệt Và Ngân Nga Khúc Hát""","""O Lips, Weave Me Songs and Psalms""",en-US
"""Kaplıca Halkı""","""People of the Springs""",en-US
"""Karanlık Gelgitlerin Yıkamadığı Kadim Kaya...""","""Once Stood Against the Tide of Dark Waters Like Bedrock...""",en-US
"""L'augurio di 'M'""","""A Blessing From 'M'""",en-US
"""Lavoro di pulizia""","""Called In For Cleanup""",en-US
"""Libiamo ne' lieti calici!""","""Hear Me — Let Us Raise the Chalice of Love!""",en-US
"""Para Kaybetmeyi Yeğlerim...""","""I'd Rather Lose Money Myself...""",en-US
"""Preferirei perdere soldi io stesso...""","""I'd Rather Lose Money Myself...""",en-US
"""Ritmi gioiosi""","""Revelrous Beats""",en-US
"""Ritmo da Euforia""","""Revelrous Beats""",en-US
"""Sabah Sisinde Bir Macera""","""An Adventure Through the Morning Mist""",en-US
"""Salmodiate, o mie labbra""","""O Lips, Weave Me Songs and Psalms""",en-US
"""Senhores, Escutem-me, Ergamos a Taça do Amor!""","""Hear Me — Let Us Raise the Chalice of Love!""",en-US
"""Spada magica del Super Signore Supremo""","""Ultimate Overlord's Mega Magic Sword""",en-US
"""Temizlik İşi Vardı""","""Called In For Cleanup""",en-US
"""Tiết Tấu Cuồng Nhiệt""","""Revelrous Beats""",en-US
"""Trabalho de limpeza""","""Called In For Cleanup""",en-US
"""Từng Như Ngọn Gió Cô Độc Ngăn Chặn Sự Lan Rộng Của Bóng Tối...""","""Once, the Lone Wind That Kept the Dark Calamity at Bay...""",en-US
"""Từng Như Tảng Đá Ngăn Dòng Nước Đen...""","""Once Stood Against the Tide of Dark Waters Like Bedrock...""",en-US
"""Um Vento Solitário Impediu Uma Vez a Escuridão de se Espalhar...""","""Once, the Lone Wind That Kept the Dark Calamity at Bay...""",en-US
"""Uma Aventura Pela Névoa Matinal""","""An Adventure Through the Morning Mist""",en-US
"""Uma Bênção de 'M'""","""A Blessing From 'M'""",en-US
"""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""","""Once, the Lone Wind That Kept the Dark Calamity at Bay...""",en-US
"""Un'avventura attraverso la nebbia mattutina""","""An Adventure Through the Morning Mist""",en-US
"""Yüce Lordun Devasa Büyü Kılıcı""","""Ultimate Overlord's Mega Magic Sword""",en-US
"""Çiçek Tüyü Klanı""","""Flower-Feather Clan""",en-US
"""Ó, Lábios, Recitem Salmos e Canções!""","""O Lips, Weave Me Songs and Psalms""",en-US
"""İnsanlığın Adı"" Artık Özgür","""Humanity's Name"" Unfettered",en-US
"""Şarkıdan ve İlahiden Başkasını Okumasın Bu Dudaklar""","""O Lips, Weave Me Songs and Psalms""",en-US
"""การผจญภัยผ่านหมอกยามเช้า""","""An Adventure Through the Morning Mist""",en-US
"""จ้าวแห่งลมราตรี""","""Masters of the Night-Wind""",en-US
"""ผองสรรพสิ่ง""","""Collective of Plenty""",en-US
"""พงศ์พิดานพฤกษา""","""Scions of the Canopy""",en-US
"""พรจากแม่มด M""","""A Blessing From 'M'""",en-US
"""พรแห่งจ้าวอัคคี""",Flamelord's Blessing,en-US
"""วงศ์ปีกบุปผา""","""Flower-Feather Clan""",en-US
"""สิ่งที่หลงเหลือไว้ในเม็ดทราย""",Lost Legacies in the Sand,en-US
"""เทศกาลรื่นเริง""","""Revelrous Beats""",en-US
"""เหล่าวารี""","""People of the Springs""",en-US
*brüll*! *brüll*!,Rawr! Rawr!,en-US
A Arte do Orçamento,The Art of Budgeting,en-US
