source,target,tgt_lng
"""Ao Lado dos Heróis""","""ฉันก็อยากผดุงความยุติธรรม""",th-TH
"""Buried under the Peach Blossom Tree...""","""สิ่งที่ฝังอยู่ใต้ต้นท้อ...""",th-TH
"""Collage Art""","""ศิลปะคอลลาจ""",th-TH
"""Don't Hold It Against Me, Eh?""",อย่าถือสากันเลยนะ,th-TH
"""Eu Sou o Osso da Minha Espada""","""ข้าคือกระดูกแห่งดาบของข้า""",th-TH
"""Hero of Justice""","""ฉันก็อยากผดุงความยุติธรรม""",th-TH
"""Hey, KU-Roro""","""สวัสดี KU-โรโร่""",th-TH
"""I Am the Bone of My Sword""","""ข้าคือกระดูกแห่งดาบของข้า""",th-TH
"""I Must Break You""","""ฉันจะโค่นแกให้ได้""",th-TH
"""I am NOT! A MORON!""","""ฉันไม่ได้! โง่นะ!""",th-TH
"""I choose the form of Tacet Discord!""","""ฉันจะแปลงร่างโจมตี!""",th-TH
"""Não me Leve a Mal, Tá?""",อย่าถือสากันเลยนะ,th-TH
"""Passione""","""แรงปรารถนา""",th-TH
"""Preciso Destruir Você""","""ฉันจะโค่นแกให้ได้""",th-TH
"""Que comece o desafio!""","""เริ่มต้นภาพฉาย""",th-TH
"""Tentei Nadar na Maré Sombria""","""พยายามแหวกว่ายในคลื่นทมิฬ""",th-TH
"""The Fragile Me is Already Dead""","""ตัวฉันที่อ่อนแอได้ตายไปแล้ว""",th-TH
"""Trace On""","""เริ่มต้นภาพฉาย""",th-TH
"""Tried to Swim in Dark Tide""","""พยายามแหวกว่ายในคลื่นทมิฬ""",th-TH
"""Tô morto(a).""","""ตัวฉันที่อ่อนแอได้ตายไปแล้ว""",th-TH
"""Uma vida a mais""",moment once more,th-TH
"""Zoltraak""","""โซลทราค""",th-TH
... Bis alles ausgebrannt ist,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
... 결국 모두 타버릴 거야,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
...Logo Desaparecerá,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
...Pronto se desvanecerá,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
...Will Soon Fade Out,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
...disparaîtra bientôt,...ผลาญเผาฝันร้ายมลายสิ้น,th-TH
100回目の狩り,หนึ่งร้อยนัด,th-TH
12 Gefangene Männer,นักโทษทั้งสิบสอง,th-TH
12 Homens Presos,นักโทษทั้งสิบสอง,th-TH
12 Imprisoned Men,นักโทษทั้งสิบสอง,th-TH
12 prisioneros,นักโทษทั้งสิบสอง,th-TH
12 prisonniers,นักโทษทั้งสิบสอง,th-TH
12명의 죄수들,นักโทษทั้งสิบสอง,th-TH
1511 Lines,บรรทัดที่ 1511,th-TH
1511 Linhas,บรรทัดที่ 1511,th-TH
1511 Reihen,บรรทัดที่ 1511,th-TH
1511 líneas,บรรทัดที่ 1511,th-TH
1m 내에서 치샤의 강공격을 사용하여 적 10회 격파,เอาชนะศัตรู 10 ตัวด้วยการโจมตีหนักของ Chixia จากระยะ 1 เมตร,th-TH
1m之内使用炽霞重击击败敌人10次。,เอาชนะศัตรู 10 ตัวด้วยการโจมตีหนักของ Chixia จากระยะ 1 เมตร,th-TH
1つの戦術テストで3つの戦術目標を達成,บรรลุครบทั้ง 3 เป้าหมายในระหว่างบททดสอบเชิงกลยุทธ์,th-TH
1メートル以内、熾霞の重撃で10回敵を倒す,เอาชนะศัตรู 10 ตัวด้วยการโจมตีหนักของ Chixia จากระยะ 1 เมตร,th-TH
1人の共鳴者が共鳴階級ランク6を突破（レベル上限突破）,เลื่อนขั้นเรโซเนเตอร์ถึงขั้นที่ 6 ครั้งแรก,th-TH
1公尺之內使用熾霞重擊擊敗敵人10次。,เอาชนะศัตรู 10 ตัวด้วยการโจมตีหนักของ Chixia จากระยะ 1 เมตร,th-TH
1回の「夢の館」挑戦で夢扉ガーディアンを1体倒す,"เอาชนะผู้พิทักษ์ประตูห้วงลึก 1 ตัวในการท้าทาย ""บานประตูสู่วิมานฝัน"" ครั้งเดียว",th-TH
1回の「夢の館」挑戦で夢扉ガーディアンを2体倒す,"เอาชนะผู้พิทักษ์ประตูห้วงลึก 2 ตัวในการท้าทาย ""บานประตูสู่วิมานฝัน"" ครั้งเดียว",th-TH
1回の「夢の館」挑戦で夢扉ガーディアンを3体倒す,"เอาชนะผู้พิทักษ์ประตูห้วงลึก 3 ตัวในการท้าทาย ""บานประตูสู่วิมานฝัน"" ครั้งเดียว",th-TH
1回の「夢の館」挑戦で夢扉ガーディアンを4体倒す,"เอาชนะผู้พิทักษ์ประตูห้วงลึก 4 ตัวในการท้าทาย ""บานประตูสู่วิมานฝัน"" ครั้งเดียว",th-TH
1回の「夢の館」挑戦で夢扉ガーディアンを5体倒す,"เอาชนะผู้พิทักษ์ประตูห้วงลึก 5 ตัวในการท้าทาย ""บานประตูสู่วิมานฝัน"" ครั้งเดียว",th-TH
1回の夢燃ゆる黒焔の挑戦において、激闘評定ランクを5回最大に上げる,เปิดใช้งานระดับซิมโฟนีสูงสุด 5 ครั้งในการท้าทายฝันลุกโชนในความมืดมิด,th-TH
1回の挑戦で巡礼の夢「剣授の地」の挑戦目標をすべてクリア,สำเร็จการท้าทายทั้งหมดของการลาดตระเวนฝัน: ดินแดนแห่งวิถีดาบในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「ディーリーバレエ」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: บัลเลต์แห่งความตายในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「ハンドパペット」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: หุ่นเชิดมืออัตโนมัติในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「嵐を浴びる騎士」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: อัศวินกลางพายุในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「白昼の双剣」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: ดาบคู่แห่งแสงในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「風車の主」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: เจ้าแห่งกังหันลมในครั้งเดียว,th-TH
1回の挑戦で巡礼の夢の「魔術使いの夜」のすべての挑戦目標をクリア,สำเร็จเป้าหมายทั้งหมดของลาดตระเวนฝัน: ผู้วิเศษในคืนศักดิ์สิทธิ์ในครั้งเดียว,th-TH
1개 전술 테스트에서 전술 목표 3개 완료,บรรลุครบทั้ง 3 เป้าหมายในระหว่างบททดสอบเชิงกลยุทธ์,th-TH
20 Constructs,โครงสร้างทั้ง 20,th-TH
20 Konstrukte,โครงสร้างทั้ง 20,th-TH
20 Mecánicas,โครงสร้างทั้ง 20,th-TH
20 constructos,โครงสร้างทั้ง 20,th-TH
20箇所のヴォイドマター力場を解放,ปลดล็อกสนามพลังสสารสุญตา 20 จุด,th-TH
2分以内で「逆境深塔・深層エリア」の任意の塔の最終階層をクリア,ผ่านเลเวลสุดท้ายในหอคอยใดก็ได้ของหอคอยห้วงวิบาก: โซนอันตรายภายใน 2 นาที,th-TH
2개 또는 그 이상의 「꿈 속의 밈」 활성화 후 임의 난이도의 요원의 암흑 불길 1회 클리어,ผ่านฝันลุกโชนในความมืดมิดในระดับความยากใดก็ได้หนึ่งครั้งหลังจากเปิดใช้งานมีมฝันร้าย 2 อันขึ้นไป,th-TH
2분 이내에 「역경의 탑 · 심경 구역」에서 임의 탑의 마지막 층 클리어,ผ่านเลเวลสุดท้ายในหอคอยใดก็ได้ของหอคอยห้วงวิบาก: โซนอันตรายภายใน 2 นาที,th-TH
30 Noites Polares,30 ราตรี ผีแหกระลอก,th-TH
30 Vagues nocturnes,30 ราตรี ผีแหกระลอก,th-TH
30 Waves of Night,30 ราตรี ผีแหกระลอก,th-TH
30 Wellen der Nacht,30 ราตรี ผีแหกระลอก,th-TH
30 días de noche,30 ราตรี ผีแหกระลอก,th-TH
30 데이즈 오브 나이트,30 ราตรี ผีแหกระลอก,th-TH
300% 이상의 보상 배율로 「꿈을 찾는 자 Ⅲ」 클리어,"ผ่านด่าน ""ผู้ล่าฝัน III"" ด้วยด้วยตัวคูณรางวัล 300% ขึ้นไป",th-TH
300%以上の報酬倍率で「夢を求める者Ⅲ」をクリア,"ผ่านด่าน ""ผู้ล่าฝัน III"" ด้วยด้วยตัวคูณรางวัล 300% ขึ้นไป",th-TH
